"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
29,"2","Other/Unknown","T1",3.75,0.1733,0.8267,"HIGH"
30,"2","Other/Unknown","T1",3.75,0.1631,0.8369,"HIGH"
31,"2","Other/Unknown","T1",3.75,0.1266,0.8734,"HIGH"
32,"2","Other/Unknown","T1",3.75,0.1253,0.8747,"HIGH"
33,"2","Other/Unknown","T1",3.75,0.1242,0.8758,"HIGH"
34,"2","Other/Unknown","T1",3.75,0.1262,0.8738,"HIGH"
35,"2","Other/Unknown","T1",3.75,0.1629,0.8371,"HIGH"
36,"2","Other/Unknown","T1",3.75,0.1534,0.8466,"HIGH"
37,"2","Other/Unknown","T1",3.75,0.1559,0.8441,"HIGH"
38,"2","Other/Unknown","T1",3.75,0.1521,0.8479,"HIGH"
39,"2","Other/Unknown","T1",3.75,0.1575,0.8425,"HIGH"
40,"2","Other/Unknown","T1",3.75,0.5016,0.4984,"LOW"
41,"2","Other/Unknown","T1",3.75,0.5114,0.4886,"LOW"
42,"2","Other/Unknown","T1",3.75,0.3103,0.6897,"HIGH"
43,"2","Other/Unknown","T1",3.75,0.1605,0.8395,"HIGH"
44,"2","Other/Unknown","T1",3.75,0.128,0.872,"HIGH"
45,"2","Other/Unknown","T1",3.75,0.1162,0.8838,"HIGH"
46,"2","Other/Unknown","T1",3.75,0.1691,0.8309,"HIGH"
47,"2","Other/Unknown","T1",3.75,0.1468,0.8532,"HIGH"
48,"2","Other/Unknown","T1",3.75,0.1134,0.8866,"HIGH"
49,"2","Other/Unknown","T1",3.75,0.1084,0.8916,"HIGH"
50,"2","Other/Unknown","T1",3.75,0.1996,0.8004,"HIGH"
51,"2","Other/Unknown","T1",3.75,0.1467,0.8533,"HIGH"
52,"2","Other/Unknown","T1",3.75,0.157,0.843,"HIGH"
53,"2","Other/Unknown","T1",3.75,0.2704,0.7296,"HIGH"
54,"2","Other/Unknown","T1",3.75,0.4323,0.5677,"HIGH"
55,"2","Other/Unknown","T1",3.75,0.3886,0.6114,"HIGH"
56,"2","Other/Unknown","T1",3.75,0.362,0.638,"HIGH"
57,"2","Other/Unknown","T1",3.75,0.3642,0.6358,"HIGH"
58,"2","Other/Unknown","T1",3.75,0.3742,0.6258,"HIGH"
59,"2","Other/Unknown","T1",3.75,0.4829,0.5171,"HIGH"
60,"2","Other/Unknown","T1",3.75,0.4316,0.5684,"HIGH"
61,"2","Other/Unknown","T1",3.75,0.6199,0.3801,"LOW"
62,"2","Other/Unknown","T1",3.75,0.5645,0.4355,"LOW"
63,"2","Other/Unknown","T1",3.75,0.3555,0.6445,"HIGH"
64,"2","Other/Unknown","T1",3.75,0.252,0.748,"HIGH"
65,"2","Other/Unknown","T1",3.75,0.3206,0.6794,"HIGH"
66,"2","Other/Unknown","T1",3.75,0.4259,0.5741,"HIGH"
67,"2","Other/Unknown","T1",3.75,0.18,0.82,"HIGH"
68,"2","Other/Unknown","T1",3.75,0.22,0.78,"HIGH"
69,"2","Other/Unknown","T1",3.75,0.4526,0.5474,"HIGH"
70,"2","Other/Unknown","T1",3.75,0.3787,0.6213,"HIGH"
71,"2","Other/Unknown","T1",3.75,0.3628,0.6372,"HIGH"
72,"2","Other/Unknown","T1",3.75,0.5485,0.4515,"LOW"
73,"2","Other/Unknown","T1",3.75,0.4513,0.5487,"HIGH"
74,"2","Other/Unknown","T1",3.75,0.5022,0.4978,"LOW"
75,"2","Other/Unknown","T1",3.75,0.6161,0.3839,"LOW"
76,"2","Other/Unknown","T1",3.75,0.5862,0.4138,"LOW"
77,"2","Other/Unknown","T1",3.75,0.5845,0.4155,"LOW"
78,"2","Other/Unknown","T1",3.75,0.6575,0.3425,"LOW"
79,"2","Other/Unknown","T1",3.75,0.6744,0.3256,"LOW"
80,"2","Other/Unknown","T1",3.75,0.7842,0.2158,"LOW"
81,"2","Other/Unknown","T1",3.75,0.7451,0.2549,"LOW"
82,"2","Other/Unknown","T1",3.75,0.6446,0.3554,"LOW"
83,"2","Other/Unknown","T1",3.75,0.5359,0.4641,"LOW"
84,"2","Other/Unknown","T1",3.75,0.4492,0.5508,"HIGH"
85,"2","Other/Unknown","T1",3.75,0.6143,0.3857,"LOW"
86,"2","Other/Unknown","T1",3.75,0.7693,0.2307,"LOW"
87,"2","Other/Unknown","T1",3.75,0.8005,0.1995,"LOW"
88,"2","Other/Unknown","T1",3.75,0.658,0.342,"LOW"
89,"2","Other/Unknown","T1",3.75,0.6084,0.3916,"LOW"
90,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
91,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
92,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
93,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
94,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
95,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
96,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
97,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
98,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
99,"2","Other/Unknown","T1",3.75,0.7543,0.2457,"LOW"
0,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
1,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
2,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
3,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
4,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
5,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
6,"1","N0","T2",3.75,0.5843,0.4157,"LOW"
7,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
8,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
9,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
10,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
11,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
12,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
13,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
14,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
15,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
16,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
17,"1","N0","T2",3.75,0.5838,0.4162,"LOW"
18,"1","N0","T2",3.75,0.5817,0.4183,"LOW"
19,"1","N0","T2",3.75,0.5977,0.4023,"LOW"
20,"1","N0","T2",3.75,0.5936,0.4064,"LOW"
21,"1","N0","T2",3.75,0.6025,0.3975,"LOW"
22,"1","N0","T2",3.75,0.6077,0.3923,"LOW"
23,"1","N0","T2",3.75,0.655,0.345,"LOW"
24,"1","N0","T2",3.75,0.6477,0.3523,"LOW"
25,"1","N0","T2",3.75,0.6207,0.3793,"LOW"
26,"1","N0","T2",3.75,0.6457,0.3543,"LOW"
27,"1","N0","T2",3.75,0.6665,0.3335,"LOW"
28,"1","N0","T2",3.75,0.6694,0.3306,"LOW"
29,"1","N0","T2",3.75,0.6271,0.3729,"LOW"
30,"1","N0","T2",3.75,0.6343,0.3657,"LOW"
31,"1","N0","T2",3.75,0.7073,0.2927,"LOW"
32,"1","N0","T2",3.75,0.7119,0.2881,"LOW"
33,"1","N0","T2",3.75,0.7482,0.2518,"LOW"
34,"1","N0","T2",3.75,0.7356,0.2644,"LOW"
35,"1","N0","T2",3.75,0.7032,0.2968,"LOW"
36,"1","N0","T2",3.75,0.6439,0.3561,"LOW"
37,"1","N0","T2",3.75,0.7942,0.2058,"LOW"
38,"1","N0","T2",3.75,0.8117,0.1883,"LOW"
39,"1","N0","T2",3.75,0.7821,0.2179,"LOW"
40,"1","N0","T2",3.75,0.8207,0.1793,"LOW"
41,"1","N0","T2",3.75,0.8014,0.1986,"LOW"
42,"1","N0","T2",3.75,0.8316,0.1684,"LOW"
43,"1","N0","T2",3.75,0.8024,0.1976,"LOW"
44,"1","N0","T2",3.75,0.684,0.316,"LOW"
45,"1","N0","T2",3.75,0.7957,0.2043,"LOW"
46,"1","N0","T2",3.75,0.7276,0.2724,"LOW"
47,"1","N0","T2",3.75,0.7518,0.2482,"LOW"
48,"1","N0","T2",3.75,0.7434,0.2566,"LOW"
49,"1","N0","T2",3.75,0.7863,0.2137,"LOW"
50,"1","N0","T2",3.75,0.8216,0.1784,"LOW"
51,"1","N0","T2",3.75,0.8031,0.1969,"LOW"
52,"1","N0","T2",3.75,0.83,0.17,"LOW"
53,"1","N0","T2",3.75,0.8053,0.1947,"LOW"
54,"1","N0","T2",3.75,0.7973,0.2027,"LOW"
55,"1","N0","T2",3.75,0.8,0.2,"LOW"
56,"1","N0","T2",3.75,0.7931,0.2069,"LOW"
57,"1","N0","T2",3.75,0.758,0.242,"LOW"
58,"1","N0","T2",3.75,0.7805,0.2195,"LOW"
59,"1","N0","T2",3.75,0.7905,0.2095,"LOW"
60,"1","N0","T2",3.75,0.7931,0.2069,"LOW"
61,"1","N0","T2",3.75,0.7895,0.2105,"LOW"
62,"1","N0","T2",3.75,0.8008,0.1992,"LOW"
63,"1","N0","T2",3.75,0.7976,0.2024,"LOW"
64,"1","N0","T2",3.75,0.7944,0.2056,"LOW"
65,"1","N0","T2",3.75,0.8125,0.1875,"LOW"
66,"1","N0","T2",3.75,0.8846,0.1154,"LOW"
67,"1","N0","T2",3.75,0.822,0.178,"LOW"
68,"1","N0","T2",3.75,0.8397,0.1603,"LOW"
69,"1","N0","T2",3.75,0.8542,0.1458,"LOW"
70,"1","N0","T2",3.75,0.8638,0.1362,"LOW"
71,"1","N0","T2",3.75,0.8545,0.1455,"LOW"
72,"1","N0","T2",3.75,0.8506,0.1494,"LOW"
73,"1","N0","T2",3.75,0.8594,0.1406,"LOW"
74,"1","N0","T2",3.75,0.8501,0.1499,"LOW"
75,"1","N0","T2",3.75,0.8613,0.1387,"LOW"
76,"1","N0","T2",3.75,0.8716,0.1284,"LOW"
77,"1","N0","T2",3.75,0.8565,0.1435,"LOW"
78,"1","N0","T2",3.75,0.8595,0.1405,"LOW"
79,"1","N0","T2",3.75,0.8783,0.1217,"LOW"
80,"1","N0","T2",3.75,0.8729,0.1271,"LOW"
81,"1","N0","T2",3.75,0.8529,0.1471,"LOW"
82,"1","N0","T2",3.75,0.8289,0.1711,"LOW"
83,"1","N0","T2",3.75,0.8627,0.1373,"LOW"
84,"1","N0","T2",3.75,0.866,0.134,"LOW"
85,"1","N0","T2",3.75,0.8677,0.1323,"LOW"
86,"1","N0","T2",3.75,0.8849,0.1151,"LOW"
87,"1","N0","T2",3.75,0.896,0.104,"LOW"
88,"1","N0","T2",3.75,0.8846,0.1154,"LOW"
89,"1","N0","T2",3.75,0.8571,0.1429,"LOW"
90,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
91,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
92,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
93,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
94,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
95,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
96,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
97,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
98,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
99,"1","N0","T2",3.75,0.8602,0.1398,"LOW"
0,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
1,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
2,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
3,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
4,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
5,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
6,"2","N0","T2",3.75,0.5026,0.4974,"LOW"
7,"2","N0","T2",3.75,0.5021,0.4979,"LOW"
8,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
9,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
10,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
11,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
12,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
13,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
14,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
15,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
16,"2","N0","T2",3.75,0.5009,0.4991,"LOW"
17,"2","N0","T2",3.75,0.4977,0.5023,"HIGH"
18,"2","N0","T2",3.75,0.4928,0.5072,"HIGH"
19,"2","N0","T2",3.75,0.4971,0.5029,"HIGH"
20,"2","N0","T2",3.75,0.4954,0.5046,"HIGH"
21,"2","N0","T2",3.75,0.503,0.497,"LOW"
22,"2","N0","T2",3.75,0.5016,0.4984,"LOW"
23,"2","N0","T2",3.75,0.5794,0.4206,"LOW"
24,"2","N0","T2",3.75,0.5778,0.4222,"LOW"
25,"2","N0","T2",3.75,0.5196,0.4804,"LOW"
26,"2","N0","T2",3.75,0.5406,0.4594,"LOW"
27,"2","N0","T2",3.75,0.5791,0.4209,"LOW"
28,"2","N0","T2",3.75,0.5778,0.4222,"LOW"
29,"2","N0","T2",3.75,0.4792,0.5208,"HIGH"
30,"2","N0","T2",3.75,0.4842,0.5158,"HIGH"
31,"2","N0","T2",3.75,0.5908,0.4092,"LOW"
32,"2","N0","T2",3.75,0.5936,0.4064,"LOW"
33,"2","N0","T2",3.75,0.6184,0.3816,"LOW"
34,"2","N0","T2",3.75,0.5808,0.4192,"LOW"
35,"2","N0","T2",3.75,0.6319,0.3681,"LOW"
36,"2","N0","T2",3.75,0.6897,0.3103,"LOW"
37,"2","N0","T2",3.75,0.8348,0.1652,"LOW"
38,"2","N0","T2",3.75,0.8364,0.1636,"LOW"
39,"2","N0","T2",3.75,0.836,0.164,"LOW"
40,"2","N0","T2",3.75,0.8353,0.1647,"LOW"
41,"2","N0","T2",3.75,0.8316,0.1684,"LOW"
42,"2","N0","T2",3.75,0.7331,0.2669,"LOW"
43,"2","N0","T2",3.75,0.7676,0.2324,"LOW"
44,"2","N0","T2",3.75,0.7142,0.2858,"LOW"
45,"2","N0","T2",3.75,0.744,0.256,"LOW"
46,"2","N0","T2",3.75,0.6993,0.3007,"LOW"
47,"2","N0","T2",3.75,0.7425,0.2575,"LOW"
48,"2","N0","T2",3.75,0.7768,0.2232,"LOW"
49,"2","N0","T2",3.75,0.8295,0.1705,"LOW"
50,"2","N0","T2",3.75,0.8796,0.1204,"LOW"
51,"2","N0","T2",3.75,0.8756,0.1244,"LOW"
52,"2","N0","T2",3.75,0.8591,0.1409,"LOW"
53,"2","N0","T2",3.75,0.7918,0.2082,"LOW"
54,"2","N0","T2",3.75,0.7867,0.2133,"LOW"
55,"2","N0","T2",3.75,0.8326,0.1674,"LOW"
56,"2","N0","T2",3.75,0.8147,0.1853,"LOW"
57,"2","N0","T2",3.75,0.7927,0.2073,"LOW"
58,"2","N0","T2",3.75,0.8067,0.1933,"LOW"
59,"2","N0","T2",3.75,0.7978,0.2022,"LOW"
60,"2","N0","T2",3.75,0.8324,0.1676,"LOW"
61,"2","N0","T2",3.75,0.8373,0.1627,"LOW"
62,"2","N0","T2",3.75,0.8374,0.1626,"LOW"
63,"2","N0","T2",3.75,0.8081,0.1919,"LOW"
64,"2","N0","T2",3.75,0.8085,0.1915,"LOW"
65,"2","N0","T2",3.75,0.8288,0.1712,"LOW"
66,"2","N0","T2",3.75,0.8444,0.1556,"LOW"
67,"2","N0","T2",3.75,0.8465,0.1535,"LOW"
68,"2","N0","T2",3.75,0.8754,0.1246,"LOW"
69,"2","N0","T2",3.75,0.8871,0.1129,"LOW"
70,"2","N0","T2",3.75,0.8917,0.1083,"LOW"
71,"2","N0","T2",3.75,0.8716,0.1284,"LOW"
72,"2","N0","T2",3.75,0.8759,0.1241,"LOW"
73,"2","N0","T2",3.75,0.9049,0.0951,"LOW"
74,"2","N0","T2",3.75,0.9019,0.0981,"LOW"
75,"2","N0","T2",3.75,0.9024,0.0976,"LOW"
76,"2","N0","T2",3.75,0.9096,0.0904,"LOW"
77,"2","N0","T2",3.75,0.9156,0.0844,"LOW"
78,"2","N0","T2",3.75,0.9151,0.0849,"LOW"
79,"2","N0","T2",3.75,0.919,0.081,"LOW"
80,"2","N0","T2",3.75,0.9152,0.0848,"LOW"
81,"2","N0","T2",3.75,0.9204,0.0796,"LOW"
82,"2","N0","T2",3.75,0.8987,0.1013,"LOW"
83,"2","N0","T2",3.75,0.9232,0.0768,"LOW"
84,"2","N0","T2",3.75,0.9111,0.0889,"LOW"
85,"2","N0","T2",3.75,0.9107,0.0893,"LOW"
86,"2","N0","T2",3.75,0.9126,0.0874,"LOW"
87,"2","N0","T2",3.75,0.9137,0.0863,"LOW"
88,"2","N0","T2",3.75,0.9098,0.0902,"LOW"
89,"2","N0","T2",3.75,0.9173,0.0827,"LOW"
90,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
91,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
92,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
93,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
94,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
95,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
96,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
97,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
98,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
99,"2","N0","T2",3.75,0.9164,0.0836,"LOW"
0,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
1,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
2,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
3,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
4,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
5,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
6,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
7,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
8,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
9,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
10,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
11,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
12,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
13,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
14,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
15,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
16,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
17,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
18,"1","N1","T2",3.75,0.4912,0.5088,"HIGH"
19,"1","N1","T2",3.75,0.4924,0.5076,"HIGH"
20,"1","N1","T2",3.75,0.4887,0.5113,"HIGH"
21,"1","N1","T2",3.75,0.4887,0.5113,"HIGH"
22,"1","N1","T2",3.75,0.4927,0.5073,"HIGH"
23,"1","N1","T2",3.75,0.4907,0.5093,"HIGH"
24,"1","N1","T2",3.75,0.4974,0.5026,"HIGH"
25,"1","N1","T2",3.75,0.4904,0.5096,"HIGH"
26,"1","N1","T2",3.75,0.4889,0.5111,"HIGH"
27,"1","N1","T2",3.75,0.4889,0.5111,"HIGH"
28,"1","N1","T2",3.75,0.4893,0.5107,"HIGH"
29,"1","N1","T2",3.75,0.4838,0.5162,"HIGH"
30,"1","N1","T2",3.75,0.4833,0.5167,"HIGH"
31,"1","N1","T2",3.75,0.4871,0.5129,"HIGH"
32,"1","N1","T2",3.75,0.5138,0.4862,"LOW"
33,"1","N1","T2",3.75,0.5654,0.4346,"LOW"
34,"1","N1","T2",3.75,0.5611,0.4389,"LOW"
35,"1","N1","T2",3.75,0.5479,0.4521,"LOW"
36,"1","N1","T2",3.75,0.512,0.488,"LOW"
37,"1","N1","T2",3.75,0.5086,0.4914,"LOW"
38,"1","N1","T2",3.75,0.4777,0.5223,"HIGH"
39,"1","N1","T2",3.75,0.4841,0.5159,"HIGH"
40,"1","N1","T2",3.75,0.5591,0.4409,"LOW"
41,"1","N1","T2",3.75,0.5522,0.4478,"LOW"
42,"1","N1","T2",3.75,0.5912,0.4088,"LOW"
43,"1","N1","T2",3.75,0.517,0.483,"LOW"
44,"1","N1","T2",3.75,0.541,0.459,"LOW"
45,"1","N1","T2",3.75,0.4872,0.5128,"HIGH"
46,"1","N1","T2",3.75,0.498,0.502,"HIGH"
47,"1","N1","T2",3.75,0.5614,0.4386,"LOW"
48,"1","N1","T2",3.75,0.5292,0.4708,"LOW"
49,"1","N1","T2",3.75,0.486,0.514,"HIGH"
50,"1","N1","T2",3.75,0.5109,0.4891,"LOW"
51,"1","N1","T2",3.75,0.4996,0.5004,"HIGH"
52,"1","N1","T2",3.75,0.4767,0.5233,"HIGH"
53,"1","N1","T2",3.75,0.4479,0.5521,"HIGH"
54,"1","N1","T2",3.75,0.5478,0.4522,"LOW"
55,"1","N1","T2",3.75,0.5892,0.4108,"LOW"
56,"1","N1","T2",3.75,0.6131,0.3869,"LOW"
57,"1","N1","T2",3.75,0.6305,0.3695,"LOW"
58,"1","N1","T2",3.75,0.5649,0.4351,"LOW"
59,"1","N1","T2",3.75,0.5703,0.4297,"LOW"
60,"1","N1","T2",3.75,0.5547,0.4453,"LOW"
61,"1","N1","T2",3.75,0.5644,0.4356,"LOW"
62,"1","N1","T2",3.75,0.585,0.415,"LOW"
63,"1","N1","T2",3.75,0.5842,0.4158,"LOW"
64,"1","N1","T2",3.75,0.5009,0.4991,"LOW"
65,"1","N1","T2",3.75,0.4893,0.5107,"HIGH"
66,"1","N1","T2",3.75,0.4633,0.5367,"HIGH"
67,"1","N1","T2",3.75,0.5759,0.4241,"LOW"
68,"1","N1","T2",3.75,0.6273,0.3727,"LOW"
69,"1","N1","T2",3.75,0.5699,0.4301,"LOW"
70,"1","N1","T2",3.75,0.623,0.377,"LOW"
71,"1","N1","T2",3.75,0.5932,0.4068,"LOW"
72,"1","N1","T2",3.75,0.6055,0.3945,"LOW"
73,"1","N1","T2",3.75,0.5436,0.4564,"LOW"
74,"1","N1","T2",3.75,0.5634,0.4366,"LOW"
75,"1","N1","T2",3.75,0.5974,0.4026,"LOW"
76,"1","N1","T2",3.75,0.6748,0.3252,"LOW"
77,"1","N1","T2",3.75,0.7451,0.2549,"LOW"
78,"1","N1","T2",3.75,0.7277,0.2723,"LOW"
79,"1","N1","T2",3.75,0.7913,0.2087,"LOW"
80,"1","N1","T2",3.75,0.8082,0.1918,"LOW"
81,"1","N1","T2",3.75,0.7017,0.2983,"LOW"
82,"1","N1","T2",3.75,0.6554,0.3446,"LOW"
83,"1","N1","T2",3.75,0.642,0.358,"LOW"
84,"1","N1","T2",3.75,0.6333,0.3667,"LOW"
85,"1","N1","T2",3.75,0.7382,0.2618,"LOW"
86,"1","N1","T2",3.75,0.6505,0.3495,"LOW"
87,"1","N1","T2",3.75,0.8073,0.1927,"LOW"
88,"1","N1","T2",3.75,0.8265,0.1735,"LOW"
89,"1","N1","T2",3.75,0.833,0.167,"LOW"
90,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
91,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
92,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
93,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
94,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
95,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
96,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
97,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
98,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
99,"1","N1","T2",3.75,0.8237,0.1763,"LOW"
0,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
1,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
2,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
3,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
4,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
5,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
6,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
7,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
8,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
9,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
10,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
11,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
12,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
13,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
14,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
15,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
16,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
17,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
18,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
19,"2","N1","T2",3.75,0.3653,0.6347,"HIGH"
20,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
21,"2","N1","T2",3.75,0.3641,0.6359,"HIGH"
22,"2","N1","T2",3.75,0.3736,0.6264,"HIGH"
23,"2","N1","T2",3.75,0.3716,0.6284,"HIGH"
24,"2","N1","T2",3.75,0.3751,0.6249,"HIGH"
25,"2","N1","T2",3.75,0.3714,0.6286,"HIGH"
26,"2","N1","T2",3.75,0.3689,0.6311,"HIGH"
27,"2","N1","T2",3.75,0.3689,0.6311,"HIGH"
28,"2","N1","T2",3.75,0.3698,0.6302,"HIGH"
29,"2","N1","T2",3.75,0.3615,0.6385,"HIGH"
30,"2","N1","T2",3.75,0.3632,0.6368,"HIGH"
31,"2","N1","T2",3.75,0.369,0.631,"HIGH"
32,"2","N1","T2",3.75,0.4076,0.5924,"HIGH"
33,"2","N1","T2",3.75,0.5181,0.4819,"LOW"
34,"2","N1","T2",3.75,0.539,0.461,"LOW"
35,"2","N1","T2",3.75,0.4918,0.5082,"HIGH"
36,"2","N1","T2",3.75,0.481,0.519,"HIGH"
37,"2","N1","T2",3.75,0.4682,0.5318,"HIGH"
38,"2","N1","T2",3.75,0.3978,0.6022,"HIGH"
39,"2","N1","T2",3.75,0.3988,0.6012,"HIGH"
40,"2","N1","T2",3.75,0.4397,0.5603,"HIGH"
41,"2","N1","T2",3.75,0.4848,0.5152,"HIGH"
42,"2","N1","T2",3.75,0.507,0.493,"LOW"
43,"2","N1","T2",3.75,0.4713,0.5287,"HIGH"
44,"2","N1","T2",3.75,0.5989,0.4011,"LOW"
45,"2","N1","T2",3.75,0.5805,0.4195,"LOW"
46,"2","N1","T2",3.75,0.5263,0.4737,"LOW"
47,"2","N1","T2",3.75,0.5297,0.4703,"LOW"
48,"2","N1","T2",3.75,0.5107,0.4893,"LOW"
49,"2","N1","T2",3.75,0.5532,0.4468,"LOW"
50,"2","N1","T2",3.75,0.551,0.449,"LOW"
51,"2","N1","T2",3.75,0.5268,0.4732,"LOW"
52,"2","N1","T2",3.75,0.5619,0.4381,"LOW"
53,"2","N1","T2",3.75,0.5054,0.4946,"LOW"
54,"2","N1","T2",3.75,0.5206,0.4794,"LOW"
55,"2","N1","T2",3.75,0.5454,0.4546,"LOW"
56,"2","N1","T2",3.75,0.5475,0.4525,"LOW"
57,"2","N1","T2",3.75,0.5856,0.4144,"LOW"
58,"2","N1","T2",3.75,0.6171,0.3829,"LOW"
59,"2","N1","T2",3.75,0.6275,0.3725,"LOW"
60,"2","N1","T2",3.75,0.6555,0.3445,"LOW"
61,"2","N1","T2",3.75,0.6711,0.3289,"LOW"
62,"2","N1","T2",3.75,0.6777,0.3223,"LOW"
63,"2","N1","T2",3.75,0.6899,0.3101,"LOW"
64,"2","N1","T2",3.75,0.5905,0.4095,"LOW"
