"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
92,"1","N0","T0",1,0.48,0.52,"HIGH"
93,"1","N0","T0",1,0.48,0.52,"HIGH"
94,"1","N0","T0",1,0.48,0.52,"HIGH"
95,"1","N0","T0",1,0.48,0.52,"HIGH"
96,"1","N0","T0",1,0.48,0.52,"HIGH"
97,"1","N0","T0",1,0.48,0.52,"HIGH"
98,"1","N0","T0",1,0.48,0.52,"HIGH"
99,"1","N0","T0",1,0.48,0.52,"HIGH"
0,"2","N0","T0",1,0.4768,0.5232,"HIGH"
1,"2","N0","T0",1,0.4768,0.5232,"HIGH"
2,"2","N0","T0",1,0.4768,0.5232,"HIGH"
3,"2","N0","T0",1,0.4768,0.5232,"HIGH"
4,"2","N0","T0",1,0.4768,0.5232,"HIGH"
5,"2","N0","T0",1,0.4768,0.5232,"HIGH"
6,"2","N0","T0",1,0.4768,0.5232,"HIGH"
7,"2","N0","T0",1,0.4689,0.5311,"HIGH"
8,"2","N0","T0",1,0.4664,0.5336,"HIGH"
9,"2","N0","T0",1,0.4664,0.5336,"HIGH"
10,"2","N0","T0",1,0.4664,0.5336,"HIGH"
11,"2","N0","T0",1,0.4624,0.5376,"HIGH"
12,"2","N0","T0",1,0.4624,0.5376,"HIGH"
13,"2","N0","T0",1,0.4624,0.5376,"HIGH"
14,"2","N0","T0",1,0.4624,0.5376,"HIGH"
15,"2","N0","T0",1,0.4724,0.5276,"HIGH"
16,"2","N0","T0",1,0.4764,0.5236,"HIGH"
17,"2","N0","T0",1,0.4504,0.5496,"HIGH"
18,"2","N0","T0",1,0.4008,0.5992,"HIGH"
19,"2","N0","T0",1,0.4095,0.5905,"HIGH"
20,"2","N0","T0",1,0.3959,0.6041,"HIGH"
21,"2","N0","T0",1,0.4483,0.5517,"HIGH"
22,"2","N0","T0",1,0.6379,0.3621,"LOW"
23,"2","N0","T0",1,0.5935,0.4065,"LOW"
24,"2","N0","T0",1,0.5828,0.4172,"LOW"
25,"2","N0","T0",1,0.5366,0.4634,"LOW"
26,"2","N0","T0",1,0.5687,0.4313,"LOW"
27,"2","N0","T0",1,0.3671,0.6329,"HIGH"
28,"2","N0","T0",1,0.3729,0.6271,"HIGH"
29,"2","N0","T0",1,0.41,0.59,"HIGH"
