"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
98,"1","N0","T0",0.0953,0.9047,"HIGH"
99,"1","N0","T0",0.0953,0.9047,"HIGH"
0,"2","N0","T0",0.5498,0.4502,"LOW"
1,"2","N0","T0",0.5498,0.4502,"LOW"
2,"2","N0","T0",0.5498,0.4502,"LOW"
3,"2","N0","T0",0.5498,0.4502,"LOW"
4,"2","N0","T0",0.5498,0.4502,"LOW"
5,"2","N0","T0",0.5498,0.4502,"LOW"
6,"2","N0","T0",0.5498,0.4502,"LOW"
7,"2","N0","T0",0.5498,0.4502,"LOW"
8,"2","N0","T0",0.5498,0.4502,"LOW"
9,"2","N0","T0",0.5498,0.4502,"LOW"
10,"2","N0","T0",0.5498,0.4502,"LOW"
11,"2","N0","T0",0.5498,0.4502,"LOW"
12,"2","N0","T0",0.5498,0.4502,"LOW"
13,"2","N0","T0",0.5498,0.4502,"LOW"
14,"2","N0","T0",0.5498,0.4502,"LOW"
15,"2","N0","T0",0.5498,0.4502,"LOW"
16,"2","N0","T0",0.5498,0.4502,"LOW"
17,"2","N0","T0",0.5498,0.4502,"LOW"
18,"2","N0","T0",0.5498,0.4502,"LOW"
19,"2","N0","T0",0.5494,0.4506,"LOW"
20,"2","N0","T0",0.5498,0.4502,"LOW"
21,"2","N0","T0",0.5498,0.4502,"LOW"
22,"2","N0","T0",0.5482,0.4518,"LOW"
23,"2","N0","T0",0.5482,0.4518,"LOW"
24,"2","N0","T0",0.5452,0.4548,"LOW"
25,"2","N0","T0",0.5439,0.4561,"LOW"
26,"2","N0","T0",0.5476,0.4524,"LOW"
27,"2","N0","T0",0.5407,0.4593,"LOW"
28,"2","N0","T0",0.5247,0.4753,"LOW"
29,"2","N0","T0",0.4525,0.5475,"HIGH"
30,"2","N0","T0",0.4516,0.5484,"HIGH"
31,"2","N0","T0",0.4067,0.5933,"HIGH"
32,"2","N0","T0",0.3654,0.6346,"HIGH"
33,"2","N0","T0",0.2679,0.7321,"HIGH"
34,"2","N0","T0",0.2626,0.7374,"HIGH"
35,"2","N0","T0",0.2557,0.7443,"HIGH"
36,"2","N0","T0",0.2545,0.7455,"HIGH"
37,"2","N0","T0",0.2491,0.7509,"HIGH"
38,"2","N0","T0",0.2477,0.7523,"HIGH"
39,"2","N0","T0",0.2467,0.7533,"HIGH"
