"AGE","TNM_N_cat","TNM_T_cat","ovary_ca125_cat","no_metastasis","metastasis","risk_level"
0,"N0","T0","Negative/normal; within normal limits",0.5479,0.4521,"LOW"
1,"N0","T0","Negative/normal; within normal limits",0.5479,0.4521,"LOW"
2,"N0","T0","Negative/normal; within normal limits",0.7043,0.2957,"LOW"
3,"N0","T0","Negative/normal; within normal limits",0.7142,0.2858,"LOW"
4,"N0","T0","Negative/normal; within normal limits",0.7495,0.2505,"LOW"
5,"N0","T0","Negative/normal; within normal limits",0.8076,0.1924,"LOW"
6,"N0","T0","Negative/normal; within normal limits",0.8512,0.1488,"LOW"
7,"N0","T0","Negative/normal; within normal limits",0.8645,0.1355,"LOW"
8,"N0","T0","Negative/normal; within normal limits",0.87,0.13,"LOW"
9,"N0","T0","Negative/normal; within normal limits",0.8719,0.1281,"LOW"
10,"N0","T0","Negative/normal; within normal limits",0.8995,0.1005,"LOW"
11,"N0","T0","Negative/normal; within normal limits",0.9047,0.0953,"LOW"
12,"N0","T0","Negative/normal; within normal limits",0.9083,0.0917,"LOW"
13,"N0","T0","Negative/normal; within normal limits",0.917,0.083,"LOW"
14,"N0","T0","Negative/normal; within normal limits",0.9173,0.0827,"LOW"
15,"N0","T0","Negative/normal; within normal limits",0.9158,0.0842,"LOW"
16,"N0","T0","Negative/normal; within normal limits",0.9185,0.0815,"LOW"
17,"N0","T0","Negative/normal; within normal limits",0.9135,0.0865,"LOW"
18,"N0","T0","Negative/normal; within normal limits",0.9123,0.0877,"LOW"
19,"N0","T0","Negative/normal; within normal limits",0.9048,0.0952,"LOW"
20,"N0","T0","Negative/normal; within normal limits",0.9098,0.0902,"LOW"
21,"N0","T0","Negative/normal; within normal limits",0.9188,0.0812,"LOW"
22,"N0","T0","Negative/normal; within normal limits",0.9106,0.0894,"LOW"
23,"N0","T0","Negative/normal; within normal limits",0.9226,0.0774,"LOW"
24,"N0","T0","Negative/normal; within normal limits",0.9276,0.0724,"LOW"
25,"N0","T0","Negative/normal; within normal limits",0.919,0.081,"LOW"
26,"N0","T0","Negative/normal; within normal limits",0.9243,0.0757,"LOW"
27,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
28,"N0","T0","Negative/normal; within normal limits",0.9257,0.0743,"LOW"
29,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
30,"N0","T0","Negative/normal; within normal limits",0.9259,0.0741,"LOW"
31,"N0","T0","Negative/normal; within normal limits",0.9302,0.0698,"LOW"
32,"N0","T0","Negative/normal; within normal limits",0.9336,0.0664,"LOW"
33,"N0","T0","Negative/normal; within normal limits",0.9335,0.0665,"LOW"
34,"N0","T0","Negative/normal; within normal limits",0.9249,0.0751,"LOW"
35,"N0","T0","Negative/normal; within normal limits",0.9209,0.0791,"LOW"
36,"N0","T0","Negative/normal; within normal limits",0.9241,0.0759,"LOW"
37,"N0","T0","Negative/normal; within normal limits",0.9197,0.0803,"LOW"
38,"N0","T0","Negative/normal; within normal limits",0.9166,0.0834,"LOW"
39,"N0","T0","Negative/normal; within normal limits",0.9149,0.0851,"LOW"
40,"N0","T0","Negative/normal; within normal limits",0.8933,0.1067,"LOW"
41,"N0","T0","Negative/normal; within normal limits",0.915,0.085,"LOW"
42,"N0","T0","Negative/normal; within normal limits",0.9117,0.0883,"LOW"
43,"N0","T0","Negative/normal; within normal limits",0.7529,0.2471,"LOW"
44,"N0","T0","Negative/normal; within normal limits",0.7719,0.2281,"LOW"
45,"N0","T0","Negative/normal; within normal limits",0.8478,0.1522,"LOW"
46,"N0","T0","Negative/normal; within normal limits",0.862,0.138,"LOW"
47,"N0","T0","Negative/normal; within normal limits",0.8579,0.1421,"LOW"
48,"N0","T0","Negative/normal; within normal limits",0.7554,0.2446,"LOW"
49,"N0","T0","Negative/normal; within normal limits",0.8495,0.1505,"LOW"
50,"N0","T0","Negative/normal; within normal limits",0.8855,0.1145,"LOW"
51,"N0","T0","Negative/normal; within normal limits",0.8863,0.1137,"LOW"
52,"N0","T0","Negative/normal; within normal limits",0.885,0.115,"LOW"
53,"N0","T0","Negative/normal; within normal limits",0.89,0.11,"LOW"
54,"N0","T0","Negative/normal; within normal limits",0.8558,0.1442,"LOW"
55,"N0","T0","Negative/normal; within normal limits",0.6843,0.3157,"LOW"
56,"N0","T0","Negative/normal; within normal limits",0.699,0.301,"LOW"
57,"N0","T0","Negative/normal; within normal limits",0.7731,0.2269,"LOW"
58,"N0","T0","Negative/normal; within normal limits",0.8727,0.1273,"LOW"
59,"N0","T0","Negative/normal; within normal limits",0.8808,0.1192,"LOW"
60,"N0","T0","Negative/normal; within normal limits",0.8771,0.1229,"LOW"
61,"N0","T0","Negative/normal; within normal limits",0.8391,0.1609,"LOW"
62,"N0","T0","Negative/normal; within normal limits",0.8479,0.1521,"LOW"
63,"N0","T0","Negative/normal; within normal limits",0.6816,0.3184,"LOW"
64,"N0","T0","Negative/normal; within normal limits",0.7651,0.2349,"LOW"
65,"N0","T0","Negative/normal; within normal limits",0.8557,0.1443,"LOW"
66,"N0","T0","Negative/normal; within normal limits",0.8583,0.1417,"LOW"
67,"N0","T0","Negative/normal; within normal limits",0.8307,0.1693,"LOW"
68,"N0","T0","Negative/normal; within normal limits",0.7842,0.2158,"LOW"
69,"N0","T0","Negative/normal; within normal limits",0.6455,0.3545,"LOW"
70,"N0","T0","Negative/normal; within normal limits",0.5423,0.4577,"LOW"
71,"N0","T0","Negative/normal; within normal limits",0.7089,0.2911,"LOW"
72,"N0","T0","Negative/normal; within normal limits",0.735,0.265,"LOW"
73,"N0","T0","Negative/normal; within normal limits",0.6984,0.3016,"LOW"
74,"N0","T0","Negative/normal; within normal limits",0.6191,0.3809,"LOW"
75,"N0","T0","Negative/normal; within normal limits",0.6035,0.3965,"LOW"
76,"N0","T0","Negative/normal; within normal limits",0.6931,0.3069,"LOW"
77,"N0","T0","Negative/normal; within normal limits",0.7201,0.2799,"LOW"
78,"N0","T0","Negative/normal; within normal limits",0.7349,0.2651,"LOW"
79,"N0","T0","Negative/normal; within normal limits",0.7212,0.2788,"LOW"
80,"N0","T0","Negative/normal; within normal limits",0.495,0.505,"HIGH"
81,"N0","T0","Negative/normal; within normal limits",0.5161,0.4839,"LOW"
82,"N0","T0","Negative/normal; within normal limits",0.491,0.509,"HIGH"
83,"N0","T0","Negative/normal; within normal limits",0.4482,0.5518,"HIGH"
84,"N0","T0","Negative/normal; within normal limits",0.4456,0.5544,"HIGH"
85,"N0","T0","Negative/normal; within normal limits",0.4913,0.5087,"HIGH"
86,"N0","T0","Negative/normal; within normal limits",0.4304,0.5696,"HIGH"
87,"N0","T0","Negative/normal; within normal limits",0.5258,0.4742,"LOW"
88,"N0","T0","Negative/normal; within normal limits",0.511,0.489,"LOW"
89,"N0","T0","Negative/normal; within normal limits",0.4928,0.5072,"HIGH"
90,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
91,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
92,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
93,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
94,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
95,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
96,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
97,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
98,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
99,"N0","T0","Negative/normal; within normal limits",0.5033,0.4967,"LOW"
0,"N1","T0","Negative/normal; within normal limits",0.7693,0.2307,"LOW"
1,"N1","T0","Negative/normal; within normal limits",0.7693,0.2307,"LOW"
2,"N1","T0","Negative/normal; within normal limits",0.7727,0.2273,"LOW"
3,"N1","T0","Negative/normal; within normal limits",0.7747,0.2253,"LOW"
4,"N1","T0","Negative/normal; within normal limits",0.7747,0.2253,"LOW"
5,"N1","T0","Negative/normal; within normal limits",0.7747,0.2253,"LOW"
6,"N1","T0","Negative/normal; within normal limits",0.7647,0.2353,"LOW"
7,"N1","T0","Negative/normal; within normal limits",0.7647,0.2353,"LOW"
8,"N1","T0","Negative/normal; within normal limits",0.7647,0.2353,"LOW"
9,"N1","T0","Negative/normal; within normal limits",0.7647,0.2353,"LOW"
10,"N1","T0","Negative/normal; within normal limits",0.7804,0.2196,"LOW"
11,"N1","T0","Negative/normal; within normal limits",0.784,0.216,"LOW"
12,"N1","T0","Negative/normal; within normal limits",0.7905,0.2095,"LOW"
13,"N1","T0","Negative/normal; within normal limits",0.7905,0.2095,"LOW"
14,"N1","T0","Negative/normal; within normal limits",0.7881,0.2119,"LOW"
15,"N1","T0","Negative/normal; within normal limits",0.7727,0.2273,"LOW"
16,"N1","T0","Negative/normal; within normal limits",0.7798,0.2202,"LOW"
17,"N1","T0","Negative/normal; within normal limits",0.7458,0.2542,"LOW"
18,"N1","T0","Negative/normal; within normal limits",0.6811,0.3189,"LOW"
19,"N1","T0","Negative/normal; within normal limits",0.6718,0.3282,"LOW"
20,"N1","T0","Negative/normal; within normal limits",0.7293,0.2707,"LOW"
21,"N1","T0","Negative/normal; within normal limits",0.7216,0.2784,"LOW"
22,"N1","T0","Negative/normal; within normal limits",0.6711,0.3289,"LOW"
23,"N1","T0","Negative/normal; within normal limits",0.668,0.332,"LOW"
24,"N1","T0","Negative/normal; within normal limits",0.7001,0.2999,"LOW"
25,"N1","T0","Negative/normal; within normal limits",0.6928,0.3072,"LOW"
26,"N1","T0","Negative/normal; within normal limits",0.7079,0.2921,"LOW"
27,"N1","T0","Negative/normal; within normal limits",0.7156,0.2844,"LOW"
28,"N1","T0","Negative/normal; within normal limits",0.6954,0.3046,"LOW"
29,"N1","T0","Negative/normal; within normal limits",0.7451,0.2549,"LOW"
30,"N1","T0","Negative/normal; within normal limits",0.744,0.256,"LOW"
31,"N1","T0","Negative/normal; within normal limits",0.7624,0.2376,"LOW"
32,"N1","T0","Negative/normal; within normal limits",0.7555,0.2445,"LOW"
33,"N1","T0","Negative/normal; within normal limits",0.7705,0.2295,"LOW"
34,"N1","T0","Negative/normal; within normal limits",0.7574,0.2426,"LOW"
35,"N1","T0","Negative/normal; within normal limits",0.7245,0.2755,"LOW"
36,"N1","T0","Negative/normal; within normal limits",0.6179,0.3821,"LOW"
37,"N1","T0","Negative/normal; within normal limits",0.5898,0.4102,"LOW"
38,"N1","T0","Negative/normal; within normal limits",0.637,0.363,"LOW"
39,"N1","T0","Negative/normal; within normal limits",0.6433,0.3567,"LOW"
40,"N1","T0","Negative/normal; within normal limits",0.6279,0.3721,"LOW"
41,"N1","T0","Negative/normal; within normal limits",0.5898,0.4102,"LOW"
42,"N1","T0","Negative/normal; within normal limits",0.5615,0.4385,"LOW"
43,"N1","T0","Negative/normal; within normal limits",0.4554,0.5446,"HIGH"
44,"N1","T0","Negative/normal; within normal limits",0.4284,0.5716,"HIGH"
45,"N1","T0","Negative/normal; within normal limits",0.4003,0.5997,"HIGH"
46,"N1","T0","Negative/normal; within normal limits",0.4155,0.5845,"HIGH"
47,"N1","T0","Negative/normal; within normal limits",0.4511,0.5489,"HIGH"
48,"N1","T0","Negative/normal; within normal limits",0.4427,0.5573,"HIGH"
49,"N1","T0","Negative/normal; within normal limits",0.4444,0.5556,"HIGH"
50,"N1","T0","Negative/normal; within normal limits",0.4945,0.5055,"HIGH"
51,"N1","T0","Negative/normal; within normal limits",0.5017,0.4983,"LOW"
52,"N1","T0","Negative/normal; within normal limits",0.5155,0.4845,"LOW"
53,"N1","T0","Negative/normal; within normal limits",0.5202,0.4798,"LOW"
54,"N1","T0","Negative/normal; within normal limits",0.496,0.504,"HIGH"
55,"N1","T0","Negative/normal; within normal limits",0.5082,0.4918,"LOW"
56,"N1","T0","Negative/normal; within normal limits",0.5226,0.4774,"LOW"
57,"N1","T0","Negative/normal; within normal limits",0.4997,0.5003,"HIGH"
58,"N1","T0","Negative/normal; within normal limits",0.5262,0.4738,"LOW"
59,"N1","T0","Negative/normal; within normal limits",0.5533,0.4467,"LOW"
60,"N1","T0","Negative/normal; within normal limits",0.5197,0.4803,"LOW"
61,"N1","T0","Negative/normal; within normal limits",0.5547,0.4453,"LOW"
62,"N1","T0","Negative/normal; within normal limits",0.5474,0.4526,"LOW"
63,"N1","T0","Negative/normal; within normal limits",0.5554,0.4446,"LOW"
64,"N1","T0","Negative/normal; within normal limits",0.6043,0.3957,"LOW"
65,"N1","T0","Negative/normal; within normal limits",0.612,0.388,"LOW"
66,"N1","T0","Negative/normal; within normal limits",0.5881,0.4119,"LOW"
67,"N1","T0","Negative/normal; within normal limits",0.643,0.357,"LOW"
68,"N1","T0","Negative/normal; within normal limits",0.6115,0.3885,"LOW"
69,"N1","T0","Negative/normal; within normal limits",0.6595,0.3405,"LOW"
70,"N1","T0","Negative/normal; within normal limits",0.6554,0.3446,"LOW"
71,"N1","T0","Negative/normal; within normal limits",0.6387,0.3613,"LOW"
72,"N1","T0","Negative/normal; within normal limits",0.6394,0.3606,"LOW"
73,"N1","T0","Negative/normal; within normal limits",0.6348,0.3652,"LOW"
74,"N1","T0","Negative/normal; within normal limits",0.649,0.351,"LOW"
75,"N1","T0","Negative/normal; within normal limits",0.6353,0.3647,"LOW"
76,"N1","T0","Negative/normal; within normal limits",0.5698,0.4302,"LOW"
77,"N1","T0","Negative/normal; within normal limits",0.5641,0.4359,"LOW"
78,"N1","T0","Negative/normal; within normal limits",0.5428,0.4572,"LOW"
79,"N1","T0","Negative/normal; within normal limits",0.5846,0.4154,"LOW"
80,"N1","T0","Negative/normal; within normal limits",0.5314,0.4686,"LOW"
81,"N1","T0","Negative/normal; within normal limits",0.476,0.524,"HIGH"
82,"N1","T0","Negative/normal; within normal limits",0.3282,0.6718,"HIGH"
83,"N1","T0","Negative/normal; within normal limits",0.3396,0.6604,"HIGH"
84,"N1","T0","Negative/normal; within normal limits",0.3832,0.6168,"HIGH"
85,"N1","T0","Negative/normal; within normal limits",0.3786,0.6214,"HIGH"
86,"N1","T0","Negative/normal; within normal limits",0.4304,0.5696,"HIGH"
87,"N1","T0","Negative/normal; within normal limits",0.4231,0.5769,"HIGH"
88,"N1","T0","Negative/normal; within normal limits",0.4046,0.5954,"HIGH"
89,"N1","T0","Negative/normal; within normal limits",0.3989,0.6011,"HIGH"
90,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
91,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
92,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
93,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
94,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
95,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
96,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
97,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
98,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
99,"N1","T0","Negative/normal; within normal limits",0.3504,0.6496,"HIGH"
0,"Other/Unknown","T0","Negative/normal; within normal limits",0.8514,0.1486,"LOW"
1,"Other/Unknown","T0","Negative/normal; within normal limits",0.8514,0.1486,"LOW"
2,"Other/Unknown","T0","Negative/normal; within normal limits",0.8614,0.1386,"LOW"
3,"Other/Unknown","T0","Negative/normal; within normal limits",0.8614,0.1386,"LOW"
4,"Other/Unknown","T0","Negative/normal; within normal limits",0.893,0.107,"LOW"
5,"Other/Unknown","T0","Negative/normal; within normal limits",0.9122,0.0878,"LOW"
6,"Other/Unknown","T0","Negative/normal; within normal limits",0.9159,0.0841,"LOW"
7,"Other/Unknown","T0","Negative/normal; within normal limits",0.9159,0.0841,"LOW"
8,"Other/Unknown","T0","Negative/normal; within normal limits",0.9159,0.0841,"LOW"
9,"Other/Unknown","T0","Negative/normal; within normal limits",0.9159,0.0841,"LOW"
10,"Other/Unknown","T0","Negative/normal; within normal limits",0.9325,0.0675,"LOW"
11,"Other/Unknown","T0","Negative/normal; within normal limits",0.9325,0.0675,"LOW"
12,"Other/Unknown","T0","Negative/normal; within normal limits",0.9301,0.0699,"LOW"
13,"Other/Unknown","T0","Negative/normal; within normal limits",0.9322,0.0678,"LOW"
14,"Other/Unknown","T0","Negative/normal; within normal limits",0.9326,0.0674,"LOW"
15,"Other/Unknown","T0","Negative/normal; within normal limits",0.9326,0.0674,"LOW"
16,"Other/Unknown","T0","Negative/normal; within normal limits",0.9291,0.0709,"LOW"
17,"Other/Unknown","T0","Negative/normal; within normal limits",0.9161,0.0839,"LOW"
18,"Other/Unknown","T0","Negative/normal; within normal limits",0.9273,0.0727,"LOW"
19,"Other/Unknown","T0","Negative/normal; within normal limits",0.9285,0.0715,"LOW"
20,"Other/Unknown","T0","Negative/normal; within normal limits",0.927,0.073,"LOW"
21,"Other/Unknown","T0","Negative/normal; within normal limits",0.9205,0.0795,"LOW"
22,"Other/Unknown","T0","Negative/normal; within normal limits",0.9009,0.0991,"LOW"
23,"Other/Unknown","T0","Negative/normal; within normal limits",0.9384,0.0616,"LOW"
24,"Other/Unknown","T0","Negative/normal; within normal limits",0.937,0.063,"LOW"
25,"Other/Unknown","T0","Negative/normal; within normal limits",0.9406,0.0594,"LOW"
26,"Other/Unknown","T0","Negative/normal; within normal limits",0.9462,0.0538,"LOW"
27,"Other/Unknown","T0","Negative/normal; within normal limits",0.949,0.051,"LOW"
28,"Other/Unknown","T0","Negative/normal; within normal limits",0.9421,0.0579,"LOW"
29,"Other/Unknown","T0","Negative/normal; within normal limits",0.9425,0.0575,"LOW"
30,"Other/Unknown","T0","Negative/normal; within normal limits",0.9336,0.0664,"LOW"
31,"Other/Unknown","T0","Negative/normal; within normal limits",0.9427,0.0573,"LOW"
32,"Other/Unknown","T0","Negative/normal; within normal limits",0.9422,0.0578,"LOW"
33,"Other/Unknown","T0","Negative/normal; within normal limits",0.9643,0.0357,"LOW"
34,"Other/Unknown","T0","Negative/normal; within normal limits",0.9664,0.0336,"LOW"
35,"Other/Unknown","T0","Negative/normal; within normal limits",0.9627,0.0373,"LOW"
36,"Other/Unknown","T0","Negative/normal; within normal limits",0.9578,0.0422,"LOW"
37,"Other/Unknown","T0","Negative/normal; within normal limits",0.9562,0.0438,"LOW"
38,"Other/Unknown","T0","Negative/normal; within normal limits",0.9412,0.0588,"LOW"
39,"Other/Unknown","T0","Negative/normal; within normal limits",0.9486,0.0514,"LOW"
40,"Other/Unknown","T0","Negative/normal; within normal limits",0.9506,0.0494,"LOW"
41,"Other/Unknown","T0","Negative/normal; within normal limits",0.9471,0.0529,"LOW"
42,"Other/Unknown","T0","Negative/normal; within normal limits",0.9224,0.0776,"LOW"
43,"Other/Unknown","T0","Negative/normal; within normal limits",0.9266,0.0734,"LOW"
44,"Other/Unknown","T0","Negative/normal; within normal limits",0.9326,0.0674,"LOW"
45,"Other/Unknown","T0","Negative/normal; within normal limits",0.8513,0.1487,"LOW"
46,"Other/Unknown","T0","Negative/normal; within normal limits",0.8641,0.1359,"LOW"
47,"Other/Unknown","T0","Negative/normal; within normal limits",0.9061,0.0939,"LOW"
48,"Other/Unknown","T0","Negative/normal; within normal limits",0.8919,0.1081,"LOW"
49,"Other/Unknown","T0","Negative/normal; within normal limits",0.8976,0.1024,"LOW"
50,"Other/Unknown","T0","Negative/normal; within normal limits",0.8836,0.1164,"LOW"
51,"Other/Unknown","T0","Negative/normal; within normal limits",0.8701,0.1299,"LOW"
52,"Other/Unknown","T0","Negative/normal; within normal limits",0.8825,0.1175,"LOW"
53,"Other/Unknown","T0","Negative/normal; within normal limits",0.8454,0.1546,"LOW"
54,"Other/Unknown","T0","Negative/normal; within normal limits",0.835,0.165,"LOW"
55,"Other/Unknown","T0","Negative/normal; within normal limits",0.7812,0.2188,"LOW"
56,"Other/Unknown","T0","Negative/normal; within normal limits",0.8068,0.1932,"LOW"
57,"Other/Unknown","T0","Negative/normal; within normal limits",0.7588,0.2412,"LOW"
58,"Other/Unknown","T0","Negative/normal; within normal limits",0.7345,0.2655,"LOW"
59,"Other/Unknown","T0","Negative/normal; within normal limits",0.5678,0.4322,"LOW"
60,"Other/Unknown","T0","Negative/normal; within normal limits",0.4296,0.5704,"HIGH"
61,"Other/Unknown","T0","Negative/normal; within normal limits",0.4389,0.5611,"HIGH"
62,"Other/Unknown","T0","Negative/normal; within normal limits",0.4227,0.5773,"HIGH"
63,"Other/Unknown","T0","Negative/normal; within normal limits",0.4564,0.5436,"HIGH"
64,"Other/Unknown","T0","Negative/normal; within normal limits",0.4354,0.5646,"HIGH"
65,"Other/Unknown","T0","Negative/normal; within normal limits",0.4816,0.5184,"HIGH"
66,"Other/Unknown","T0","Negative/normal; within normal limits",0.5034,0.4966,"LOW"
67,"Other/Unknown","T0","Negative/normal; within normal limits",0.4829,0.5171,"HIGH"
68,"Other/Unknown","T0","Negative/normal; within normal limits",0.4523,0.5477,"HIGH"
69,"Other/Unknown","T0","Negative/normal; within normal limits",0.461,0.539,"HIGH"
70,"Other/Unknown","T0","Negative/normal; within normal limits",0.4364,0.5636,"HIGH"
71,"Other/Unknown","T0","Negative/normal; within normal limits",0.429,0.571,"HIGH"
72,"Other/Unknown","T0","Negative/normal; within normal limits",0.4364,0.5636,"HIGH"
73,"Other/Unknown","T0","Negative/normal; within normal limits",0.4477,0.5523,"HIGH"
74,"Other/Unknown","T0","Negative/normal; within normal limits",0.4424,0.5576,"HIGH"
75,"Other/Unknown","T0","Negative/normal; within normal limits",0.4534,0.5466,"HIGH"
76,"Other/Unknown","T0","Negative/normal; within normal limits",0.436,0.564,"HIGH"
77,"Other/Unknown","T0","Negative/normal; within normal limits",0.317,0.683,"HIGH"
78,"Other/Unknown","T0","Negative/normal; within normal limits",0.3466,0.6534,"HIGH"
79,"Other/Unknown","T0","Negative/normal; within normal limits",0.4676,0.5324,"HIGH"
80,"Other/Unknown","T0","Negative/normal; within normal limits",0.4781,0.5219,"HIGH"
81,"Other/Unknown","T0","Negative/normal; within normal limits",0.4811,0.5189,"HIGH"
82,"Other/Unknown","T0","Negative/normal; within normal limits",0.5169,0.4831,"LOW"
83,"Other/Unknown","T0","Negative/normal; within normal limits",0.5096,0.4904,"LOW"
84,"Other/Unknown","T0","Negative/normal; within normal limits",0.5664,0.4336,"LOW"
85,"Other/Unknown","T0","Negative/normal; within normal limits",0.585,0.415,"LOW"
86,"Other/Unknown","T0","Negative/normal; within normal limits",0.6413,0.3587,"LOW"
87,"Other/Unknown","T0","Negative/normal; within normal limits",0.6399,0.3601,"LOW"
88,"Other/Unknown","T0","Negative/normal; within normal limits",0.5516,0.4484,"LOW"
89,"Other/Unknown","T0","Negative/normal; within normal limits",0.4134,0.5866,"HIGH"
90,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
91,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
92,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
93,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
94,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
95,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
96,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
97,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
98,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
99,"Other/Unknown","T0","Negative/normal; within normal limits",0.4198,0.5802,"HIGH"
0,"N0","Other/Unknown","Negative/normal; within normal limits",0.604,0.396,"LOW"
1,"N0","Other/Unknown","Negative/normal; within normal limits",0.604,0.396,"LOW"
2,"N0","Other/Unknown","Negative/normal; within normal limits",0.8615,0.1385,"LOW"
3,"N0","Other/Unknown","Negative/normal; within normal limits",0.8753,0.1247,"LOW"
4,"N0","Other/Unknown","Negative/normal; within normal limits",0.9151,0.0849,"LOW"
5,"N0","Other/Unknown","Negative/normal; within normal limits",0.9592,0.0408,"LOW"
6,"N0","Other/Unknown","Negative/normal; within normal limits",0.9611,0.0389,"LOW"
7,"N0","Other/Unknown","Negative/normal; within normal limits",0.9767,0.0233,"LOW"
8,"N0","Other/Unknown","Negative/normal; within normal limits",0.9846,0.0154,"LOW"
9,"N0","Other/Unknown","Negative/normal; within normal limits",0.9846,0.0154,"LOW"
10,"N0","Other/Unknown","Negative/normal; within normal limits",0.9846,0.0154,"LOW"
11,"N0","Other/Unknown","Negative/normal; within normal limits",0.9846,0.0154,"LOW"
12,"N0","Other/Unknown","Negative/normal; within normal limits",0.9806,0.0194,"LOW"
13,"N0","Other/Unknown","Negative/normal; within normal limits",0.9845,0.0155,"LOW"
14,"N0","Other/Unknown","Negative/normal; within normal limits",0.9841,0.0159,"LOW"
15,"N0","Other/Unknown","Negative/normal; within normal limits",0.9847,0.0153,"LOW"
16,"N0","Other/Unknown","Negative/normal; within normal limits",0.985,0.015,"LOW"
17,"N0","Other/Unknown","Negative/normal; within normal limits",0.9845,0.0155,"LOW"
18,"N0","Other/Unknown","Negative/normal; within normal limits",0.985,0.015,"LOW"
19,"N0","Other/Unknown","Negative/normal; within normal limits",0.9843,0.0157,"LOW"
20,"N0","Other/Unknown","Negative/normal; within normal limits",0.9849,0.0151,"LOW"
21,"N0","Other/Unknown","Negative/normal; within normal limits",0.9846,0.0154,"LOW"
22,"N0","Other/Unknown","Negative/normal; within normal limits",0.9842,0.0158,"LOW"
23,"N0","Other/Unknown","Negative/normal; within normal limits",0.9849,0.0151,"LOW"
24,"N0","Other/Unknown","Negative/normal; within normal limits",0.9847,0.0153,"LOW"
25,"N0","Other/Unknown","Negative/normal; within normal limits",0.985,0.015,"LOW"
26,"N0","Other/Unknown","Negative/normal; within normal limits",0.985,0.015,"LOW"
27,"N0","Other/Unknown","Negative/normal; within normal limits",0.985,0.015,"LOW"
28,"N0","Other/Unknown","Negative/normal; within normal limits",0.9848,0.0152,"LOW"
29,"N0","Other/Unknown","Negative/normal; within normal limits",0.9766,0.0234,"LOW"
30,"N0","Other/Unknown","Negative/normal; within normal limits",0.983,0.017,"LOW"
31,"N0","Other/Unknown","Negative/normal; within normal limits",0.9835,0.0165,"LOW"
32,"N0","Other/Unknown","Negative/normal; within normal limits",0.9834,0.0166,"LOW"
33,"N0","Other/Unknown","Negative/normal; within normal limits",0.9833,0.0167,"LOW"
34,"N0","Other/Unknown","Negative/normal; within normal limits",0.9827,0.0173,"LOW"
35,"N0","Other/Unknown","Negative/normal; within normal limits",0.9805,0.0195,"LOW"
36,"N0","Other/Unknown","Negative/normal; within normal limits",0.9599,0.0401,"LOW"
37,"N0","Other/Unknown","Negative/normal; within normal limits",0.9575,0.0425,"LOW"
38,"N0","Other/Unknown","Negative/normal; within normal limits",0.9783,0.0217,"LOW"
39,"N0","Other/Unknown","Negative/normal; within normal limits",0.9776,0.0224,"LOW"
40,"N0","Other/Unknown","Negative/normal; within normal limits",0.9784,0.0216,"LOW"
41,"N0","Other/Unknown","Negative/normal; within normal limits",0.9785,0.0215,"LOW"
42,"N0","Other/Unknown","Negative/normal; within normal limits",0.9726,0.0274,"LOW"
43,"N0","Other/Unknown","Negative/normal; within normal limits",0.9762,0.0238,"LOW"
44,"N0","Other/Unknown","Negative/normal; within normal limits",0.9687,0.0313,"LOW"
45,"N0","Other/Unknown","Negative/normal; within normal limits",0.9778,0.0222,"LOW"
46,"N0","Other/Unknown","Negative/normal; within normal limits",0.9777,0.0223,"LOW"
