"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
2,"2","N0","T0",0.9112,0.0888,"LOW"
3,"2","N0","T0",0.9112,0.0888,"LOW"
4,"2","N0","T0",0.9112,0.0888,"LOW"
5,"2","N0","T0",0.9112,0.0888,"LOW"
6,"2","N0","T0",0.9112,0.0888,"LOW"
7,"2","N0","T0",0.9112,0.0888,"LOW"
8,"2","N0","T0",0.9112,0.0888,"LOW"
9,"2","N0","T0",0.9112,0.0888,"LOW"
10,"2","N0","T0",0.9112,0.0888,"LOW"
11,"2","N0","T0",0.9112,0.0888,"LOW"
12,"2","N0","T0",0.9112,0.0888,"LOW"
13,"2","N0","T0",0.9112,0.0888,"LOW"
14,"2","N0","T0",0.9112,0.0888,"LOW"
15,"2","N0","T0",0.9112,0.0888,"LOW"
16,"2","N0","T0",0.9112,0.0888,"LOW"
17,"2","N0","T0",0.9112,0.0888,"LOW"
18,"2","N0","T0",0.9112,0.0888,"LOW"
19,"2","N0","T0",0.9112,0.0888,"LOW"
20,"2","N0","T0",0.9112,0.0888,"LOW"
21,"2","N0","T0",0.9112,0.0888,"LOW"
22,"2","N0","T0",0.9112,0.0888,"LOW"
23,"2","N0","T0",0.9082,0.0918,"LOW"
24,"2","N0","T0",0.9062,0.0938,"LOW"
25,"2","N0","T0",0.9184,0.0816,"LOW"
26,"2","N0","T0",0.9164,0.0836,"LOW"
27,"2","N0","T0",0.9013,0.0987,"LOW"
28,"2","N0","T0",0.9161,0.0839,"LOW"
29,"2","N0","T0",0.9108,0.0892,"LOW"
30,"2","N0","T0",0.9195,0.0805,"LOW"
31,"2","N0","T0",0.9201,0.0799,"LOW"
32,"2","N0","T0",0.8949,0.1051,"LOW"
33,"2","N0","T0",0.9217,0.0783,"LOW"
34,"2","N0","T0",0.9332,0.0668,"LOW"
35,"2","N0","T0",0.9332,0.0668,"LOW"
36,"2","N0","T0",0.9348,0.0652,"LOW"
37,"2","N0","T0",0.9337,0.0663,"LOW"
38,"2","N0","T0",0.9348,0.0652,"LOW"
39,"2","N0","T0",0.9346,0.0654,"LOW"
40,"2","N0","T0",0.9331,0.0669,"LOW"
41,"2","N0","T0",0.935,0.065,"LOW"
42,"2","N0","T0",0.9334,0.0666,"LOW"
43,"2","N0","T0",0.9339,0.0661,"LOW"
44,"2","N0","T0",0.9341,0.0659,"LOW"
45,"2","N0","T0",0.9339,0.0661,"LOW"
46,"2","N0","T0",0.93,0.07,"LOW"
47,"2","N0","T0",0.9276,0.0724,"LOW"
48,"2","N0","T0",0.931,0.069,"LOW"
49,"2","N0","T0",0.9226,0.0774,"LOW"
50,"2","N0","T0",0.9206,0.0794,"LOW"
51,"2","N0","T0",0.819,0.181,"LOW"
52,"2","N0","T0",0.8446,0.1554,"LOW"
53,"2","N0","T0",0.9077,0.0923,"LOW"
54,"2","N0","T0",0.9204,0.0796,"LOW"
55,"2","N0","T0",0.9204,0.0796,"LOW"
56,"2","N0","T0",0.9192,0.0808,"LOW"
57,"2","N0","T0",0.881,0.119,"LOW"
58,"2","N0","T0",0.8977,0.1023,"LOW"
59,"2","N0","T0",0.8925,0.1075,"LOW"
60,"2","N0","T0",0.8647,0.1353,"LOW"
61,"2","N0","T0",0.8493,0.1507,"LOW"
62,"2","N0","T0",0.8945,0.1055,"LOW"
63,"2","N0","T0",0.8948,0.1052,"LOW"
64,"2","N0","T0",0.8824,0.1176,"LOW"
65,"2","N0","T0",0.8986,0.1014,"LOW"
66,"2","N0","T0",0.8906,0.1094,"LOW"
67,"2","N0","T0",0.8935,0.1065,"LOW"
68,"2","N0","T0",0.8459,0.1541,"LOW"
69,"2","N0","T0",0.859,0.141,"LOW"
70,"2","N0","T0",0.8525,0.1475,"LOW"
71,"2","N0","T0",0.9043,0.0957,"LOW"
72,"2","N0","T0",0.9067,0.0933,"LOW"
73,"2","N0","T0",0.9079,0.0921,"LOW"
74,"2","N0","T0",0.9033,0.0967,"LOW"
75,"2","N0","T0",0.8938,0.1062,"LOW"
76,"2","N0","T0",0.8983,0.1017,"LOW"
77,"2","N0","T0",0.8979,0.1021,"LOW"
78,"2","N0","T0",0.8317,0.1683,"LOW"
79,"2","N0","T0",0.8963,0.1037,"LOW"
80,"2","N0","T0",0.8957,0.1043,"LOW"
81,"2","N0","T0",0.8626,0.1374,"LOW"
82,"2","N0","T0",0.8618,0.1382,"LOW"
83,"2","N0","T0",0.8519,0.1481,"LOW"
84,"2","N0","T0",0.8099,0.1901,"LOW"
85,"2","N0","T0",0.8502,0.1498,"LOW"
86,"2","N0","T0",0.8645,0.1355,"LOW"
87,"2","N0","T0",0.905,0.095,"LOW"
88,"2","N0","T0",0.9143,0.0857,"LOW"
89,"2","N0","T0",0.9165,0.0835,"LOW"
90,"2","N0","T0",0.9207,0.0793,"LOW"
91,"2","N0","T0",0.9207,0.0793,"LOW"
92,"2","N0","T0",0.9207,0.0793,"LOW"
93,"2","N0","T0",0.9207,0.0793,"LOW"
94,"2","N0","T0",0.9207,0.0793,"LOW"
95,"2","N0","T0",0.9207,0.0793,"LOW"
96,"2","N0","T0",0.9207,0.0793,"LOW"
97,"2","N0","T0",0.9207,0.0793,"LOW"
98,"2","N0","T0",0.9207,0.0793,"LOW"
99,"2","N0","T0",0.9207,0.0793,"LOW"
0,"1","N1","T0",0.4564,0.5436,"HIGH"
1,"1","N1","T0",0.4572,0.5428,"HIGH"
2,"1","N1","T0",0.4572,0.5428,"HIGH"
3,"1","N1","T0",0.4572,0.5428,"HIGH"
4,"1","N1","T0",0.4572,0.5428,"HIGH"
5,"1","N1","T0",0.4572,0.5428,"HIGH"
6,"1","N1","T0",0.4572,0.5428,"HIGH"
7,"1","N1","T0",0.4572,0.5428,"HIGH"
8,"1","N1","T0",0.4572,0.5428,"HIGH"
9,"1","N1","T0",0.4572,0.5428,"HIGH"
10,"1","N1","T0",0.4572,0.5428,"HIGH"
11,"1","N1","T0",0.4572,0.5428,"HIGH"
12,"1","N1","T0",0.4572,0.5428,"HIGH"
13,"1","N1","T0",0.4572,0.5428,"HIGH"
14,"1","N1","T0",0.4572,0.5428,"HIGH"
15,"1","N1","T0",0.4572,0.5428,"HIGH"
16,"1","N1","T0",0.4572,0.5428,"HIGH"
17,"1","N1","T0",0.4572,0.5428,"HIGH"
18,"1","N1","T0",0.4572,0.5428,"HIGH"
19,"1","N1","T0",0.4572,0.5428,"HIGH"
20,"1","N1","T0",0.4492,0.5508,"HIGH"
21,"1","N1","T0",0.4472,0.5528,"HIGH"
22,"1","N1","T0",0.4472,0.5528,"HIGH"
23,"1","N1","T0",0.4472,0.5528,"HIGH"
24,"1","N1","T0",0.4472,0.5528,"HIGH"
25,"1","N1","T0",0.4472,0.5528,"HIGH"
26,"1","N1","T0",0.4472,0.5528,"HIGH"
27,"1","N1","T0",0.4472,0.5528,"HIGH"
28,"1","N1","T0",0.4496,0.5504,"HIGH"
29,"1","N1","T0",0.4898,0.5102,"HIGH"
30,"1","N1","T0",0.4958,0.5042,"HIGH"
31,"1","N1","T0",0.4958,0.5042,"HIGH"
32,"1","N1","T0",0.4958,0.5042,"HIGH"
33,"1","N1","T0",0.4958,0.5042,"HIGH"
34,"1","N1","T0",0.4958,0.5042,"HIGH"
35,"1","N1","T0",0.4918,0.5082,"HIGH"
36,"1","N1","T0",0.4758,0.5242,"HIGH"
37,"1","N1","T0",0.4648,0.5352,"HIGH"
38,"1","N1","T0",0.4747,0.5253,"HIGH"
39,"1","N1","T0",0.4881,0.5119,"HIGH"
40,"1","N1","T0",0.4309,0.5691,"HIGH"
41,"1","N1","T0",0.4349,0.5651,"HIGH"
42,"1","N1","T0",0.3955,0.6045,"HIGH"
43,"1","N1","T0",0.378,0.622,"HIGH"
44,"1","N1","T0",0.3747,0.6253,"HIGH"
45,"1","N1","T0",0.3522,0.6478,"HIGH"
46,"1","N1","T0",0.3058,0.6942,"HIGH"
47,"1","N1","T0",0.3163,0.6837,"HIGH"
48,"1","N1","T0",0.364,0.636,"HIGH"
49,"1","N1","T0",0.3972,0.6028,"HIGH"
50,"1","N1","T0",0.3822,0.6178,"HIGH"
51,"1","N1","T0",0.397,0.603,"HIGH"
52,"1","N1","T0",0.3949,0.6051,"HIGH"
53,"1","N1","T0",0.3616,0.6384,"HIGH"
54,"1","N1","T0",0.3349,0.6651,"HIGH"
55,"1","N1","T0",0.3023,0.6977,"HIGH"
56,"1","N1","T0",0.2956,0.7044,"HIGH"
57,"1","N1","T0",0.2748,0.7252,"HIGH"
58,"1","N1","T0",0.2313,0.7687,"HIGH"
59,"1","N1","T0",0.2451,0.7549,"HIGH"
60,"1","N1","T0",0.25,0.75,"HIGH"
61,"1","N1","T0",0.242,0.758,"HIGH"
62,"1","N1","T0",0.2325,0.7675,"HIGH"
63,"1","N1","T0",0.2664,0.7336,"HIGH"
64,"1","N1","T0",0.2407,0.7593,"HIGH"
65,"1","N1","T0",0.2372,0.7628,"HIGH"
66,"1","N1","T0",0.2064,0.7936,"HIGH"
67,"1","N1","T0",0.211,0.789,"HIGH"
68,"1","N1","T0",0.2258,0.7742,"HIGH"
69,"1","N1","T0",0.2289,0.7711,"HIGH"
70,"1","N1","T0",0.2539,0.7461,"HIGH"
71,"1","N1","T0",0.2942,0.7058,"HIGH"
72,"1","N1","T0",0.3115,0.6885,"HIGH"
73,"1","N1","T0",0.3692,0.6308,"HIGH"
74,"1","N1","T0",0.4022,0.5978,"HIGH"
75,"1","N1","T0",0.5432,0.4568,"LOW"
76,"1","N1","T0",0.5514,0.4486,"LOW"
77,"1","N1","T0",0.5691,0.4309,"LOW"
78,"1","N1","T0",0.5473,0.4527,"LOW"
79,"1","N1","T0",0.5933,0.4067,"LOW"
80,"1","N1","T0",0.6046,0.3954,"LOW"
81,"1","N1","T0",0.6236,0.3764,"LOW"
82,"1","N1","T0",0.6343,0.3657,"LOW"
83,"1","N1","T0",0.6061,0.3939,"LOW"
84,"1","N1","T0",0.6376,0.3624,"LOW"
85,"1","N1","T0",0.616,0.384,"LOW"
86,"1","N1","T0",0.5944,0.4056,"LOW"
87,"1","N1","T0",0.599,0.401,"LOW"
88,"1","N1","T0",0.5905,0.4095,"LOW"
89,"1","N1","T0",0.5936,0.4064,"LOW"
90,"1","N1","T0",0.6405,0.3595,"LOW"
91,"1","N1","T0",0.6405,0.3595,"LOW"
92,"1","N1","T0",0.6405,0.3595,"LOW"
93,"1","N1","T0",0.6405,0.3595,"LOW"
94,"1","N1","T0",0.6405,0.3595,"LOW"
95,"1","N1","T0",0.6405,0.3595,"LOW"
96,"1","N1","T0",0.6405,0.3595,"LOW"
97,"1","N1","T0",0.6405,0.3595,"LOW"
98,"1","N1","T0",0.6405,0.3595,"LOW"
99,"1","N1","T0",0.6405,0.3595,"LOW"
0,"2","N1","T0",0.4023,0.5977,"HIGH"
1,"2","N1","T0",0.4032,0.5968,"HIGH"
2,"2","N1","T0",0.4032,0.5968,"HIGH"
3,"2","N1","T0",0.4032,0.5968,"HIGH"
