"AGE","SEX","TNM_N_cat","TNM_T_cat","rcc_sf_cat","rcc_fng_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0","Yes","1",0.74,0.26,"LOW"
1,"1","N0","T0","Yes","1",0.74,0.26,"LOW"
2,"1","N0","T0","Yes","1",0.7394,0.2606,"LOW"
3,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
4,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
5,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
6,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
7,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
8,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
9,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
10,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
11,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
12,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
13,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
14,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
15,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
16,"1","N0","T0","Yes","1",0.7405,0.2595,"LOW"
17,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
18,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
19,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
20,"1","N0","T0","Yes","1",0.7395,0.2605,"LOW"
21,"1","N0","T0","Yes","1",0.7408,0.2592,"LOW"
22,"1","N0","T0","Yes","1",0.742,0.258,"LOW"
23,"1","N0","T0","Yes","1",0.7466,0.2534,"LOW"
24,"1","N0","T0","Yes","1",0.7479,0.2521,"LOW"
25,"1","N0","T0","Yes","1",0.7479,0.2521,"LOW"
26,"1","N0","T0","Yes","1",0.7514,0.2486,"LOW"
27,"1","N0","T0","Yes","1",0.7527,0.2473,"LOW"
28,"1","N0","T0","Yes","1",0.7567,0.2433,"LOW"
29,"1","N0","T0","Yes","1",0.7642,0.2358,"LOW"
30,"1","N0","T0","Yes","1",0.7636,0.2364,"LOW"
31,"1","N0","T0","Yes","1",0.757,0.243,"LOW"
32,"1","N0","T0","Yes","1",0.758,0.242,"LOW"
33,"1","N0","T0","Yes","1",0.7594,0.2406,"LOW"
34,"1","N0","T0","Yes","1",0.7599,0.2401,"LOW"
35,"1","N0","T0","Yes","1",0.7611,0.2389,"LOW"
36,"1","N0","T0","Yes","1",0.7722,0.2278,"LOW"
37,"1","N0","T0","Yes","1",0.775,0.225,"LOW"
38,"1","N0","T0","Yes","1",0.7661,0.2339,"LOW"
39,"1","N0","T0","Yes","1",0.7727,0.2273,"LOW"
40,"1","N0","T0","Yes","1",0.773,0.227,"LOW"
41,"1","N0","T0","Yes","1",0.7763,0.2237,"LOW"
42,"1","N0","T0","Yes","1",0.7702,0.2298,"LOW"
43,"1","N0","T0","Yes","1",0.7603,0.2397,"LOW"
44,"1","N0","T0","Yes","1",0.7632,0.2368,"LOW"
45,"1","N0","T0","Yes","1",0.7575,0.2425,"LOW"
46,"1","N0","T0","Yes","1",0.7626,0.2374,"LOW"
47,"1","N0","T0","Yes","1",0.7552,0.2448,"LOW"
48,"1","N0","T0","Yes","1",0.7464,0.2536,"LOW"
49,"1","N0","T0","Yes","1",0.7559,0.2441,"LOW"
50,"1","N0","T0","Yes","1",0.7473,0.2527,"LOW"
51,"1","N0","T0","Yes","1",0.7526,0.2474,"LOW"
52,"1","N0","T0","Yes","1",0.739,0.261,"LOW"
53,"1","N0","T0","Yes","1",0.7286,0.2714,"LOW"
54,"1","N0","T0","Yes","1",0.7187,0.2813,"LOW"
55,"1","N0","T0","Yes","1",0.7119,0.2881,"LOW"
56,"1","N0","T0","Yes","1",0.7025,0.2975,"LOW"
57,"1","N0","T0","Yes","1",0.6901,0.3099,"LOW"
58,"1","N0","T0","Yes","1",0.6861,0.3139,"LOW"
59,"1","N0","T0","Yes","1",0.6831,0.3169,"LOW"
60,"1","N0","T0","Yes","1",0.6804,0.3196,"LOW"
61,"1","N0","T0","Yes","1",0.6987,0.3013,"LOW"
62,"1","N0","T0","Yes","1",0.6747,0.3253,"LOW"
63,"1","N0","T0","Yes","1",0.66,0.34,"LOW"
64,"1","N0","T0","Yes","1",0.6475,0.3525,"LOW"
65,"1","N0","T0","Yes","1",0.6301,0.3699,"LOW"
66,"1","N0","T0","Yes","1",0.612,0.388,"LOW"
67,"1","N0","T0","Yes","1",0.6165,0.3835,"LOW"
68,"1","N0","T0","Yes","1",0.6023,0.3977,"LOW"
69,"1","N0","T0","Yes","1",0.5975,0.4025,"LOW"
70,"1","N0","T0","Yes","1",0.6177,0.3823,"LOW"
71,"1","N0","T0","Yes","1",0.6369,0.3631,"LOW"
72,"1","N0","T0","Yes","1",0.6499,0.3501,"LOW"
73,"1","N0","T0","Yes","1",0.654,0.346,"LOW"
74,"1","N0","T0","Yes","1",0.6702,0.3298,"LOW"
75,"1","N0","T0","Yes","1",0.6985,0.3015,"LOW"
76,"1","N0","T0","Yes","1",0.7081,0.2919,"LOW"
77,"1","N0","T0","Yes","1",0.7226,0.2774,"LOW"
78,"1","N0","T0","Yes","1",0.7263,0.2737,"LOW"
79,"1","N0","T0","Yes","1",0.7211,0.2789,"LOW"
80,"1","N0","T0","Yes","1",0.723,0.277,"LOW"
81,"1","N0","T0","Yes","1",0.7276,0.2724,"LOW"
82,"1","N0","T0","Yes","1",0.7239,0.2761,"LOW"
83,"1","N0","T0","Yes","1",0.7383,0.2617,"LOW"
84,"1","N0","T0","Yes","1",0.7429,0.2571,"LOW"
85,"1","N0","T0","Yes","1",0.7384,0.2616,"LOW"
86,"1","N0","T0","Yes","1",0.7406,0.2594,"LOW"
87,"1","N0","T0","Yes","1",0.731,0.269,"LOW"
88,"1","N0","T0","Yes","1",0.733,0.267,"LOW"
89,"1","N0","T0","Yes","1",0.7361,0.2639,"LOW"
90,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
91,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
92,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
93,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
94,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
95,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
96,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
97,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
98,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
99,"1","N0","T0","Yes","1",0.7319,0.2681,"LOW"
0,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
1,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
2,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
3,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
4,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
5,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
6,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
7,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
8,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
9,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
10,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
11,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
12,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
13,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
14,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
15,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
16,"2","N0","T0","Yes","1",0.7,0.3,"LOW"
17,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
18,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
19,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
20,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
21,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
22,"2","N0","T0","Yes","1",0.699,0.301,"LOW"
23,"2","N0","T0","Yes","1",0.701,0.299,"LOW"
24,"2","N0","T0","Yes","1",0.703,0.297,"LOW"
25,"2","N0","T0","Yes","1",0.703,0.297,"LOW"
26,"2","N0","T0","Yes","1",0.7042,0.2958,"LOW"
27,"2","N0","T0","Yes","1",0.7062,0.2938,"LOW"
28,"2","N0","T0","Yes","1",0.7062,0.2938,"LOW"
29,"2","N0","T0","Yes","1",0.7097,0.2903,"LOW"
30,"2","N0","T0","Yes","1",0.7077,0.2923,"LOW"
31,"2","N0","T0","Yes","1",0.7032,0.2968,"LOW"
32,"2","N0","T0","Yes","1",0.7042,0.2958,"LOW"
33,"2","N0","T0","Yes","1",0.7051,0.2949,"LOW"
34,"2","N0","T0","Yes","1",0.7103,0.2897,"LOW"
35,"2","N0","T0","Yes","1",0.7127,0.2873,"LOW"
36,"2","N0","T0","Yes","1",0.7128,0.2872,"LOW"
37,"2","N0","T0","Yes","1",0.7101,0.2899,"LOW"
38,"2","N0","T0","Yes","1",0.7083,0.2917,"LOW"
39,"2","N0","T0","Yes","1",0.7026,0.2974,"LOW"
40,"2","N0","T0","Yes","1",0.6978,0.3022,"LOW"
41,"2","N0","T0","Yes","1",0.6979,0.3021,"LOW"
42,"2","N0","T0","Yes","1",0.6986,0.3014,"LOW"
43,"2","N0","T0","Yes","1",0.6986,0.3014,"LOW"
44,"2","N0","T0","Yes","1",0.7049,0.2951,"LOW"
45,"2","N0","T0","Yes","1",0.6863,0.3137,"LOW"
46,"2","N0","T0","Yes","1",0.7109,0.2891,"LOW"
47,"2","N0","T0","Yes","1",0.711,0.289,"LOW"
48,"2","N0","T0","Yes","1",0.7022,0.2978,"LOW"
49,"2","N0","T0","Yes","1",0.7189,0.2811,"LOW"
50,"2","N0","T0","Yes","1",0.715,0.285,"LOW"
51,"2","N0","T0","Yes","1",0.7021,0.2979,"LOW"
52,"2","N0","T0","Yes","1",0.692,0.308,"LOW"
53,"2","N0","T0","Yes","1",0.689,0.311,"LOW"
54,"2","N0","T0","Yes","1",0.6906,0.3094,"LOW"
55,"2","N0","T0","Yes","1",0.6749,0.3251,"LOW"
56,"2","N0","T0","Yes","1",0.6752,0.3248,"LOW"
57,"2","N0","T0","Yes","1",0.6665,0.3335,"LOW"
58,"2","N0","T0","Yes","1",0.6565,0.3435,"LOW"
59,"2","N0","T0","Yes","1",0.6515,0.3485,"LOW"
60,"2","N0","T0","Yes","1",0.6461,0.3539,"LOW"
61,"2","N0","T0","Yes","1",0.6365,0.3635,"LOW"
62,"2","N0","T0","Yes","1",0.6305,0.3695,"LOW"
63,"2","N0","T0","Yes","1",0.6265,0.3735,"LOW"
64,"2","N0","T0","Yes","1",0.6354,0.3646,"LOW"
65,"2","N0","T0","Yes","1",0.641,0.359,"LOW"
66,"2","N0","T0","Yes","1",0.6414,0.3586,"LOW"
67,"2","N0","T0","Yes","1",0.6449,0.3551,"LOW"
68,"2","N0","T0","Yes","1",0.6399,0.3601,"LOW"
69,"2","N0","T0","Yes","1",0.6547,0.3453,"LOW"
70,"2","N0","T0","Yes","1",0.6801,0.3199,"LOW"
71,"2","N0","T0","Yes","1",0.714,0.286,"LOW"
72,"2","N0","T0","Yes","1",0.7262,0.2738,"LOW"
73,"2","N0","T0","Yes","1",0.7367,0.2633,"LOW"
74,"2","N0","T0","Yes","1",0.7683,0.2317,"LOW"
75,"2","N0","T0","Yes","1",0.805,0.195,"LOW"
76,"2","N0","T0","Yes","1",0.816,0.184,"LOW"
77,"2","N0","T0","Yes","1",0.8204,0.1796,"LOW"
78,"2","N0","T0","Yes","1",0.8224,0.1776,"LOW"
79,"2","N0","T0","Yes","1",0.8247,0.1753,"LOW"
80,"2","N0","T0","Yes","1",0.8201,0.1799,"LOW"
81,"2","N0","T0","Yes","1",0.8148,0.1852,"LOW"
82,"2","N0","T0","Yes","1",0.8099,0.1901,"LOW"
83,"2","N0","T0","Yes","1",0.8066,0.1934,"LOW"
84,"2","N0","T0","Yes","1",0.8096,0.1904,"LOW"
85,"2","N0","T0","Yes","1",0.8006,0.1994,"LOW"
86,"2","N0","T0","Yes","1",0.8138,0.1862,"LOW"
87,"2","N0","T0","Yes","1",0.7919,0.2081,"LOW"
88,"2","N0","T0","Yes","1",0.8005,0.1995,"LOW"
89,"2","N0","T0","Yes","1",0.8043,0.1957,"LOW"
90,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
91,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
92,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
93,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
94,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
95,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
96,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
97,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
98,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
99,"2","N0","T0","Yes","1",0.8062,0.1938,"LOW"
0,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
1,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
2,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
3,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
4,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
5,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
6,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
7,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
8,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
9,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
10,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
11,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
12,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
13,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
14,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
15,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
16,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
17,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
18,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
19,"1","N1","T0","Yes","1",0.3859,0.6141,"HIGH"
20,"1","N1","T0","Yes","1",0.3839,0.6161,"HIGH"
21,"1","N1","T0","Yes","1",0.3752,0.6248,"HIGH"
22,"1","N1","T0","Yes","1",0.3702,0.6298,"HIGH"
23,"1","N1","T0","Yes","1",0.3709,0.6291,"HIGH"
24,"1","N1","T0","Yes","1",0.3709,0.6291,"HIGH"
25,"1","N1","T0","Yes","1",0.3701,0.6299,"HIGH"
26,"1","N1","T0","Yes","1",0.37,0.63,"HIGH"
27,"1","N1","T0","Yes","1",0.3639,0.6361,"HIGH"
28,"1","N1","T0","Yes","1",0.3462,0.6538,"HIGH"
29,"1","N1","T0","Yes","1",0.3382,0.6618,"HIGH"
30,"1","N1","T0","Yes","1",0.34,0.66,"HIGH"
31,"1","N1","T0","Yes","1",0.3426,0.6574,"HIGH"
32,"1","N1","T0","Yes","1",0.3428,0.6572,"HIGH"
33,"1","N1","T0","Yes","1",0.3493,0.6507,"HIGH"
34,"1","N1","T0","Yes","1",0.3631,0.6369,"HIGH"
35,"1","N1","T0","Yes","1",0.3616,0.6384,"HIGH"
36,"1","N1","T0","Yes","1",0.3604,0.6396,"HIGH"
37,"1","N1","T0","Yes","1",0.351,0.649,"HIGH"
38,"1","N1","T0","Yes","1",0.338,0.662,"HIGH"
39,"1","N1","T0","Yes","1",0.3393,0.6607,"HIGH"
40,"1","N1","T0","Yes","1",0.336,0.664,"HIGH"
41,"1","N1","T0","Yes","1",0.3295,0.6705,"HIGH"
42,"1","N1","T0","Yes","1",0.3324,0.6676,"HIGH"
43,"1","N1","T0","Yes","1",0.3271,0.6729,"HIGH"
44,"1","N1","T0","Yes","1",0.3136,0.6864,"HIGH"
45,"1","N1","T0","Yes","1",0.3018,0.6982,"HIGH"
46,"1","N1","T0","Yes","1",0.289,0.711,"HIGH"
47,"1","N1","T0","Yes","1",0.2897,0.7103,"HIGH"
48,"1","N1","T0","Yes","1",0.2766,0.7234,"HIGH"
49,"1","N1","T0","Yes","1",0.2682,0.7318,"HIGH"
50,"1","N1","T0","Yes","1",0.2575,0.7425,"HIGH"
51,"1","N1","T0","Yes","1",0.2583,0.7417,"HIGH"
52,"1","N1","T0","Yes","1",0.2438,0.7562,"HIGH"
53,"1","N1","T0","Yes","1",0.2448,0.7552,"HIGH"
54,"1","N1","T0","Yes","1",0.2509,0.7491,"HIGH"
55,"1","N1","T0","Yes","1",0.2514,0.7486,"HIGH"
56,"1","N1","T0","Yes","1",0.2411,0.7589,"HIGH"
57,"1","N1","T0","Yes","1",0.2331,0.7669,"HIGH"
58,"1","N1","T0","Yes","1",0.2425,0.7575,"HIGH"
59,"1","N1","T0","Yes","1",0.2531,0.7469,"HIGH"
60,"1","N1","T0","Yes","1",0.2617,0.7383,"HIGH"
61,"1","N1","T0","Yes","1",0.2587,0.7413,"HIGH"
62,"1","N1","T0","Yes","1",0.2655,0.7345,"HIGH"
63,"1","N1","T0","Yes","1",0.2621,0.7379,"HIGH"
64,"1","N1","T0","Yes","1",0.2699,0.7301,"HIGH"
65,"1","N1","T0","Yes","1",0.264,0.736,"HIGH"
66,"1","N1","T0","Yes","1",0.2584,0.7416,"HIGH"
67,"1","N1","T0","Yes","1",0.257,0.743,"HIGH"
68,"1","N1","T0","Yes","1",0.2724,0.7276,"HIGH"
69,"1","N1","T0","Yes","1",0.289,0.711,"HIGH"
70,"1","N1","T0","Yes","1",0.3027,0.6973,"HIGH"
71,"1","N1","T0","Yes","1",0.3154,0.6846,"HIGH"
72,"1","N1","T0","Yes","1",0.3081,0.6919,"HIGH"
73,"1","N1","T0","Yes","1",0.3107,0.6893,"HIGH"
74,"1","N1","T0","Yes","1",0.2912,0.7088,"HIGH"
75,"1","N1","T0","Yes","1",0.2931,0.7069,"HIGH"
76,"1","N1","T0","Yes","1",0.3021,0.6979,"HIGH"
77,"1","N1","T0","Yes","1",0.3241,0.6759,"HIGH"
78,"1","N1","T0","Yes","1",0.348,0.652,"HIGH"
79,"1","N1","T0","Yes","1",0.3557,0.6443,"HIGH"
80,"1","N1","T0","Yes","1",0.3723,0.6277,"HIGH"
81,"1","N1","T0","Yes","1",0.388,0.612,"HIGH"
82,"1","N1","T0","Yes","1",0.3828,0.6172,"HIGH"
83,"1","N1","T0","Yes","1",0.3846,0.6154,"HIGH"
84,"1","N1","T0","Yes","1",0.3653,0.6347,"HIGH"
85,"1","N1","T0","Yes","1",0.3677,0.6323,"HIGH"
86,"1","N1","T0","Yes","1",0.3739,0.6261,"HIGH"
87,"1","N1","T0","Yes","1",0.3749,0.6251,"HIGH"
88,"1","N1","T0","Yes","1",0.3863,0.6137,"HIGH"
89,"1","N1","T0","Yes","1",0.3957,0.6043,"HIGH"
90,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
91,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
92,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
93,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
94,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
95,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
96,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
97,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
98,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
99,"1","N1","T0","Yes","1",0.4025,0.5975,"HIGH"
0,"2","N1","T0","Yes","1",0.5136,0.4864,"LOW"
1,"2","N1","T0","Yes","1",0.5136,0.4864,"LOW"
2,"2","N1","T0","Yes","1",0.5136,0.4864,"LOW"
3,"2","N1","T0","Yes","1",0.5136,0.4864,"LOW"
4,"2","N1","T0","Yes","1",0.5136,0.4864,"LOW"
5,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
6,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
7,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
8,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
9,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
10,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
11,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
12,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
13,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
14,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
15,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
16,"2","N1","T0","Yes","1",0.5143,0.4857,"LOW"
17,"2","N1","T0","Yes","1",0.5163,0.4837,"LOW"
18,"2","N1","T0","Yes","1",0.5183,0.4817,"LOW"
19,"2","N1","T0","Yes","1",0.5203,0.4797,"LOW"
20,"2","N1","T0","Yes","1",0.5177,0.4823,"LOW"
21,"2","N1","T0","Yes","1",0.5157,0.4843,"LOW"
22,"2","N1","T0","Yes","1",0.5088,0.4912,"LOW"
23,"2","N1","T0","Yes","1",0.511,0.489,"LOW"
24,"2","N1","T0","Yes","1",0.5144,0.4856,"LOW"
25,"2","N1","T0","Yes","1",0.5144,0.4856,"LOW"
26,"2","N1","T0","Yes","1",0.5124,0.4876,"LOW"
27,"2","N1","T0","Yes","1",0.5124,0.4876,"LOW"
28,"2","N1","T0","Yes","1",0.5026,0.4974,"LOW"
29,"2","N1","T0","Yes","1",0.4986,0.5014,"HIGH"
30,"2","N1","T0","Yes","1",0.5078,0.4922,"LOW"
31,"2","N1","T0","Yes","1",0.5103,0.4897,"LOW"
32,"2","N1","T0","Yes","1",0.5121,0.4879,"LOW"
33,"2","N1","T0","Yes","1",0.509,0.491,"LOW"
34,"2","N1","T0","Yes","1",0.5042,0.4958,"LOW"
35,"2","N1","T0","Yes","1",0.4981,0.5019,"HIGH"
36,"2","N1","T0","Yes","1",0.4928,0.5072,"HIGH"
37,"2","N1","T0","Yes","1",0.4728,0.5272,"HIGH"
38,"2","N1","T0","Yes","1",0.4634,0.5366,"HIGH"
39,"2","N1","T0","Yes","1",0.4504,0.5496,"HIGH"
40,"2","N1","T0","Yes","1",0.46,0.54,"HIGH"
41,"2","N1","T0","Yes","1",0.451,0.549,"HIGH"
42,"2","N1","T0","Yes","1",0.4523,0.5477,"HIGH"
43,"2","N1","T0","Yes","1",0.4501,0.5499,"HIGH"
44,"2","N1","T0","Yes","1",0.4502,0.5498,"HIGH"
45,"2","N1","T0","Yes","1",0.4532,0.5468,"HIGH"
46,"2","N1","T0","Yes","1",0.4502,0.5498,"HIGH"
47,"2","N1","T0","Yes","1",0.4478,0.5522,"HIGH"
48,"2","N1","T0","Yes","1",0.4362,0.5638,"HIGH"
49,"2","N1","T0","Yes","1",0.4179,0.5821,"HIGH"
50,"2","N1","T0","Yes","1",0.4147,0.5853,"HIGH"
51,"2","N1","T0","Yes","1",0.4198,0.5802,"HIGH"
52,"2","N1","T0","Yes","1",0.4049,0.5951,"HIGH"
53,"2","N1","T0","Yes","1",0.4152,0.5848,"HIGH"
54,"2","N1","T0","Yes","1",0.4217,0.5783,"HIGH"
55,"2","N1","T0","Yes","1",0.4214,0.5786,"HIGH"
56,"2","N1","T0","Yes","1",0.4204,0.5796,"HIGH"
57,"2","N1","T0","Yes","1",0.4143,0.5857,"HIGH"
58,"2","N1","T0","Yes","1",0.4183,0.5817,"HIGH"
59,"2","N1","T0","Yes","1",0.4112,0.5888,"HIGH"
60,"2","N1","T0","Yes","1",0.413,0.587,"HIGH"
61,"2","N1","T0","Yes","1",0.4099,0.5901,"HIGH"
62,"2","N1","T0","Yes","1",0.4287,0.5713,"HIGH"
63,"2","N1","T0","Yes","1",0.412,0.588,"HIGH"
64,"2","N1","T0","Yes","1",0.414,0.586,"HIGH"
65,"2","N1","T0","Yes","1",0.4339,0.5661,"HIGH"
66,"2","N1","T0","Yes","1",0.4314,0.5686,"HIGH"
67,"2","N1","T0","Yes","1",0.4423,0.5577,"HIGH"
68,"2","N1","T0","Yes","1",0.4471,0.5529,"HIGH"
69,"2","N1","T0","Yes","1",0.4576,0.5424,"HIGH"
70,"2","N1","T0","Yes","1",0.4635,0.5365,"HIGH"
71,"2","N1","T0","Yes","1",0.4663,0.5337,"HIGH"
72,"2","N1","T0","Yes","1",0.4727,0.5273,"HIGH"
73,"2","N1","T0","Yes","1",0.4729,0.5271,"HIGH"
74,"2","N1","T0","Yes","1",0.4785,0.5215,"HIGH"
75,"2","N1","T0","Yes","1",0.5025,0.4975,"LOW"
76,"2","N1","T0","Yes","1",0.4998,0.5002,"HIGH"
77,"2","N1","T0","Yes","1",0.5185,0.4815,"LOW"
78,"2","N1","T0","Yes","1",0.5443,0.4557,"LOW"
79,"2","N1","T0","Yes","1",0.5593,0.4407,"LOW"
80,"2","N1","T0","Yes","1",0.5669,0.4331,"LOW"
81,"2","N1","T0","Yes","1",0.5782,0.4218,"LOW"
82,"2","N1","T0","Yes","1",0.5572,0.4428,"LOW"
83,"2","N1","T0","Yes","1",0.5523,0.4477,"LOW"
84,"2","N1","T0","Yes","1",0.5503,0.4497,"LOW"
85,"2","N1","T0","Yes","1",0.5663,0.4337,"LOW"
86,"2","N1","T0","Yes","1",0.5671,0.4329,"LOW"
87,"2","N1","T0","Yes","1",0.5721,0.4279,"LOW"
88,"2","N1","T0","Yes","1",0.5716,0.4284,"LOW"
89,"2","N1","T0","Yes","1",0.5775,0.4225,"LOW"
90,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
91,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
92,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
93,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
94,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
95,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
96,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
97,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
98,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
99,"2","N1","T0","Yes","1",0.5793,0.4207,"LOW"
0,"1","N2","T0","Yes","1",0.7329,0.2671,"LOW"
1,"1","N2","T0","Yes","1",0.7329,0.2671,"LOW"
2,"1","N2","T0","Yes","1",0.7323,0.2677,"LOW"
3,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
4,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
5,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
6,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
7,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
8,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
9,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
10,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
11,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
12,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
13,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
14,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
15,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
16,"1","N2","T0","Yes","1",0.7334,0.2666,"LOW"
17,"1","N2","T0","Yes","1",0.7324,0.2676,"LOW"
18,"1","N2","T0","Yes","1",0.7324,0.2676,"LOW"
19,"1","N2","T0","Yes","1",0.7324,0.2676,"LOW"
20,"1","N2","T0","Yes","1",0.7324,0.2676,"LOW"
