"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
37,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4732,0.5268,"HIGH"
38,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4732,0.5268,"HIGH"
39,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4664,0.5336,"HIGH"
40,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4584,0.5416,"HIGH"
41,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4535,0.5465,"HIGH"
42,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4626,0.5374,"HIGH"
43,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4633,0.5367,"HIGH"
44,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4693,0.5307,"HIGH"
45,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.474,0.526,"HIGH"
46,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4684,0.5316,"HIGH"
47,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4665,0.5335,"HIGH"
48,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4625,0.5375,"HIGH"
49,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4649,0.5351,"HIGH"
50,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4872,0.5128,"HIGH"
51,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5075,0.4925,"LOW"
52,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5014,0.4986,"LOW"
53,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5182,0.4818,"LOW"
54,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5382,0.4618,"LOW"
55,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5286,0.4714,"LOW"
56,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5299,0.4701,"LOW"
57,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5144,0.4856,"LOW"
58,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5061,0.4939,"LOW"
59,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4886,0.5114,"HIGH"
60,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4676,0.5324,"HIGH"
61,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4418,0.5582,"HIGH"
62,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4273,0.5727,"HIGH"
63,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4402,0.5598,"HIGH"
64,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4559,0.5441,"HIGH"
65,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4606,0.5394,"HIGH"
66,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4695,0.5305,"HIGH"
67,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4753,0.5247,"HIGH"
68,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4765,0.5235,"HIGH"
69,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4825,0.5175,"HIGH"
70,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4905,0.5095,"HIGH"
71,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4983,0.5017,"HIGH"
72,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5164,0.4836,"LOW"
73,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.532,0.468,"LOW"
74,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5311,0.4689,"LOW"
75,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5196,0.4804,"LOW"
76,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5291,0.4709,"LOW"
77,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5404,0.4596,"LOW"
78,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.551,0.449,"LOW"
79,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5465,0.4535,"LOW"
80,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5307,0.4693,"LOW"
81,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5128,0.4872,"LOW"
82,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5141,0.4859,"LOW"
83,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.509,0.491,"LOW"
84,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5126,0.4874,"LOW"
85,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5219,0.4781,"LOW"
86,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.5037,0.4963,"LOW"
87,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4808,0.5192,"HIGH"
88,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4752,0.5248,"HIGH"
89,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4777,0.5223,"HIGH"
90,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
91,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
92,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
93,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
94,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
95,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
96,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
97,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
98,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
99,"2","N1","T1","Other/Unknown","Fibrosis score 0-4",0.4624,0.5376,"HIGH"
0,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9847,0.0153,"LOW"
1,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9847,0.0153,"LOW"
2,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9821,0.0179,"LOW"
3,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9821,0.0179,"LOW"
4,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9821,0.0179,"LOW"
5,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9817,0.0183,"LOW"
6,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9817,0.0183,"LOW"
7,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
8,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
9,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
10,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
11,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
12,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
13,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
14,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
15,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
16,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
17,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
18,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
19,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
20,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
21,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9837,0.0163,"LOW"
22,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9799,0.0201,"LOW"
23,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9811,0.0189,"LOW"
24,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9827,0.0173,"LOW"
25,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9827,0.0173,"LOW"
26,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9847,0.0153,"LOW"
27,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9857,0.0143,"LOW"
28,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9876,0.0124,"LOW"
29,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9876,0.0124,"LOW"
30,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9883,0.0117,"LOW"
31,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9881,0.0119,"LOW"
32,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9881,0.0119,"LOW"
33,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9876,0.0124,"LOW"
34,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9878,0.0122,"LOW"
35,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9875,0.0125,"LOW"
36,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9872,0.0128,"LOW"
37,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9872,0.0128,"LOW"
38,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9872,0.0128,"LOW"
39,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9869,0.0131,"LOW"
40,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9849,0.0151,"LOW"
41,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9849,0.0151,"LOW"
42,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9826,0.0174,"LOW"
43,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9826,0.0174,"LOW"
44,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9846,0.0154,"LOW"
45,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9846,0.0154,"LOW"
46,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9844,0.0156,"LOW"
47,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9862,0.0138,"LOW"
48,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9864,0.0136,"LOW"
49,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9866,0.0134,"LOW"
50,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9862,0.0138,"LOW"
51,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9859,0.0141,"LOW"
52,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9832,0.0168,"LOW"
53,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9856,0.0144,"LOW"
54,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9835,0.0165,"LOW"
55,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9847,0.0153,"LOW"
56,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9852,0.0148,"LOW"
57,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.98,0.02,"LOW"
58,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9766,0.0234,"LOW"
59,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9688,0.0312,"LOW"
60,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9659,0.0341,"LOW"
61,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9733,0.0267,"LOW"
62,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9755,0.0245,"LOW"
63,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9842,0.0158,"LOW"
64,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9845,0.0155,"LOW"
65,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9859,0.0141,"LOW"
66,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9863,0.0137,"LOW"
67,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.986,0.014,"LOW"
68,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9855,0.0145,"LOW"
69,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9785,0.0215,"LOW"
70,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9795,0.0205,"LOW"
71,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9776,0.0224,"LOW"
72,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9803,0.0197,"LOW"
73,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9793,0.0207,"LOW"
74,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9756,0.0244,"LOW"
75,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9816,0.0184,"LOW"
76,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9776,0.0224,"LOW"
77,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9833,0.0167,"LOW"
78,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9749,0.0251,"LOW"
79,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9699,0.0301,"LOW"
80,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9673,0.0327,"LOW"
81,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9662,0.0338,"LOW"
82,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9679,0.0321,"LOW"
83,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9572,0.0428,"LOW"
84,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9688,0.0312,"LOW"
85,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9631,0.0369,"LOW"
86,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.965,0.035,"LOW"
87,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9652,0.0348,"LOW"
88,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9579,0.0421,"LOW"
89,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9539,0.0461,"LOW"
90,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
91,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
92,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
93,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
94,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
95,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
96,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
97,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
98,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
99,"1","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9536,0.0464,"LOW"
0,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9303,0.0697,"LOW"
1,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.929,0.071,"LOW"
2,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
3,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
4,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9262,0.0738,"LOW"
5,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9262,0.0738,"LOW"
6,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9262,0.0738,"LOW"
7,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
8,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
9,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
10,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
11,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9272,0.0728,"LOW"
12,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
13,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9282,0.0718,"LOW"
14,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9282,0.0718,"LOW"
15,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
16,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
17,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
18,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
19,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9285,0.0715,"LOW"
20,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9275,0.0725,"LOW"
21,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.923,0.077,"LOW"
22,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.923,0.077,"LOW"
23,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9248,0.0752,"LOW"
24,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9248,0.0752,"LOW"
25,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9248,0.0752,"LOW"
26,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9268,0.0732,"LOW"
27,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9316,0.0684,"LOW"
28,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9376,0.0624,"LOW"
29,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9385,0.0615,"LOW"
30,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9455,0.0545,"LOW"
31,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9475,0.0525,"LOW"
32,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9514,0.0486,"LOW"
33,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9465,0.0535,"LOW"
34,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9469,0.0531,"LOW"
35,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9474,0.0526,"LOW"
36,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9484,0.0516,"LOW"
37,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9481,0.0519,"LOW"
38,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9481,0.0519,"LOW"
39,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9481,0.0519,"LOW"
40,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9477,0.0523,"LOW"
41,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9496,0.0504,"LOW"
42,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9496,0.0504,"LOW"
43,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9515,0.0485,"LOW"
44,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9506,0.0494,"LOW"
45,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9462,0.0538,"LOW"
46,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9459,0.0541,"LOW"
47,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9485,0.0515,"LOW"
48,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9488,0.0512,"LOW"
49,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9451,0.0549,"LOW"
50,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9438,0.0562,"LOW"
51,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9406,0.0594,"LOW"
52,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9386,0.0614,"LOW"
53,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9328,0.0672,"LOW"
54,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.92,0.08,"LOW"
55,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9301,0.0699,"LOW"
56,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9386,0.0614,"LOW"
57,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9366,0.0634,"LOW"
58,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.937,0.063,"LOW"
59,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9327,0.0673,"LOW"
60,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9281,0.0719,"LOW"
61,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9352,0.0648,"LOW"
62,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9346,0.0654,"LOW"
63,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9346,0.0654,"LOW"
64,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9341,0.0659,"LOW"
65,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9326,0.0674,"LOW"
66,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9308,0.0692,"LOW"
67,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9259,0.0741,"LOW"
68,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9232,0.0768,"LOW"
69,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9153,0.0847,"LOW"
70,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9192,0.0808,"LOW"
71,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9106,0.0894,"LOW"
72,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.9032,0.0968,"LOW"
73,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8809,0.1191,"LOW"
74,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8509,0.1491,"LOW"
75,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8476,0.1524,"LOW"
76,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8394,0.1606,"LOW"
77,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.851,0.149,"LOW"
78,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8513,0.1487,"LOW"
79,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.845,0.155,"LOW"
80,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8484,0.1516,"LOW"
81,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8633,0.1367,"LOW"
82,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8672,0.1328,"LOW"
83,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8763,0.1237,"LOW"
84,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8832,0.1168,"LOW"
85,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8834,0.1166,"LOW"
86,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8869,0.1131,"LOW"
87,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8805,0.1195,"LOW"
88,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8859,0.1141,"LOW"
89,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8756,0.1244,"LOW"
90,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
91,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
92,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
93,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
94,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
95,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
96,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
97,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
98,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
99,"2","Other/Unknown","T1","Other/Unknown","Fibrosis score 0-4",0.8759,0.1241,"LOW"
0,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9687,0.0313,"LOW"
1,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9687,0.0313,"LOW"
2,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
3,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
4,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
5,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
6,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
7,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9684,0.0316,"LOW"
8,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9681,0.0319,"LOW"
9,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.9681,0.0319,"LOW"
10,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.968,0.032,"LOW"
11,"1","N0","T2","Other/Unknown","Fibrosis score 0-4",0.968,0.032,"LOW"
