"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
59,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8475,0.1525,"LOW"
60,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.824,0.176,"LOW"
61,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8198,0.1802,"LOW"
62,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.8,0.2,"LOW"
63,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.7799,0.2201,"LOW"
64,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.7647,0.2353,"LOW"
65,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.7516,0.2484,"LOW"
66,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.7214,0.2786,"LOW"
67,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.7148,0.2852,"LOW"
68,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6934,0.3066,"LOW"
69,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6966,0.3034,"LOW"
70,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6821,0.3179,"LOW"
71,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6778,0.3222,"LOW"
72,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6657,0.3343,"LOW"
73,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6556,0.3444,"LOW"
74,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6502,0.3498,"LOW"
75,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.6276,0.3724,"LOW"
76,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.599,0.401,"LOW"
77,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5889,0.4111,"LOW"
78,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5898,0.4102,"LOW"
79,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5608,0.4392,"LOW"
80,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5377,0.4623,"LOW"
81,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5012,0.4988,"LOW"
82,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5109,0.4891,"LOW"
83,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5173,0.4827,"LOW"
84,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5261,0.4739,"LOW"
85,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5394,0.4606,"LOW"
86,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5434,0.4566,"LOW"
87,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5538,0.4462,"LOW"
88,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5583,0.4417,"LOW"
89,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5625,0.4375,"LOW"
90,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
91,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
92,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
93,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
94,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
95,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
96,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
97,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
98,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
99,"1","N0","T0","Negative/normal","Fibrosis score 0-4",0.5646,0.4354,"LOW"
0,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8773,0.1227,"LOW"
1,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8773,0.1227,"LOW"
2,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8773,0.1227,"LOW"
3,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8776,0.1224,"LOW"
4,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8776,0.1224,"LOW"
5,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8776,0.1224,"LOW"
6,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
7,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
8,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
9,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
10,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
11,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
12,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
13,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
14,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
15,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8784,0.1216,"LOW"
16,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8804,0.1196,"LOW"
17,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8817,0.1183,"LOW"
18,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8817,0.1183,"LOW"
19,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8817,0.1183,"LOW"
20,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8797,0.1203,"LOW"
21,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8787,0.1213,"LOW"
22,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8803,0.1197,"LOW"
23,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8781,0.1219,"LOW"
24,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8801,0.1199,"LOW"
25,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8821,0.1179,"LOW"
26,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8841,0.1159,"LOW"
27,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8809,0.1191,"LOW"
28,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.883,0.117,"LOW"
29,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8842,0.1158,"LOW"
30,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8857,0.1143,"LOW"
31,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8843,0.1157,"LOW"
32,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8863,0.1137,"LOW"
33,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8863,0.1137,"LOW"
34,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8878,0.1122,"LOW"
35,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8941,0.1059,"LOW"
36,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9011,0.0989,"LOW"
37,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9026,0.0974,"LOW"
38,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9055,0.0945,"LOW"
39,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9055,0.0945,"LOW"
40,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.908,0.092,"LOW"
41,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.908,0.092,"LOW"
42,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9076,0.0924,"LOW"
43,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9076,0.0924,"LOW"
44,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9076,0.0924,"LOW"
45,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.9013,0.0987,"LOW"
46,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8999,0.1001,"LOW"
47,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8974,0.1026,"LOW"
48,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8954,0.1046,"LOW"
49,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8934,0.1066,"LOW"
50,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8957,0.1043,"LOW"
51,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8984,0.1016,"LOW"
52,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8924,0.1076,"LOW"
53,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8938,0.1062,"LOW"
