"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
34,"2","Other/Unknown","T0","2",0.8836,0.1164,"LOW"
35,"2","Other/Unknown","T0","2",0.8837,0.1163,"LOW"
36,"2","Other/Unknown","T0","2",0.8838,0.1162,"LOW"
37,"2","Other/Unknown","T0","2",0.8831,0.1169,"LOW"
38,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
39,"2","Other/Unknown","T0","2",0.8828,0.1172,"LOW"
40,"2","Other/Unknown","T0","2",0.8829,0.1171,"LOW"
41,"2","Other/Unknown","T0","2",0.8839,0.1161,"LOW"
42,"2","Other/Unknown","T0","2",0.8854,0.1146,"LOW"
43,"2","Other/Unknown","T0","2",0.8853,0.1147,"LOW"
44,"2","Other/Unknown","T0","2",0.8852,0.1148,"LOW"
45,"2","Other/Unknown","T0","2",0.8844,0.1156,"LOW"
46,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
47,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
48,"2","Other/Unknown","T0","2",0.8839,0.1161,"LOW"
49,"2","Other/Unknown","T0","2",0.8846,0.1154,"LOW"
50,"2","Other/Unknown","T0","2",0.8844,0.1156,"LOW"
51,"2","Other/Unknown","T0","2",0.8836,0.1164,"LOW"
52,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
53,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
54,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
55,"2","Other/Unknown","T0","2",0.8832,0.1168,"LOW"
56,"2","Other/Unknown","T0","2",0.883,0.117,"LOW"
57,"2","Other/Unknown","T0","2",0.8827,0.1173,"LOW"
58,"2","Other/Unknown","T0","2",0.8835,0.1165,"LOW"
59,"2","Other/Unknown","T0","2",0.8827,0.1173,"LOW"
60,"2","Other/Unknown","T0","2",0.8835,0.1165,"LOW"
61,"2","Other/Unknown","T0","2",0.8834,0.1166,"LOW"
62,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
63,"2","Other/Unknown","T0","2",0.8835,0.1165,"LOW"
64,"2","Other/Unknown","T0","2",0.8827,0.1173,"LOW"
65,"2","Other/Unknown","T0","2",0.883,0.117,"LOW"
66,"2","Other/Unknown","T0","2",0.8829,0.1171,"LOW"
67,"2","Other/Unknown","T0","2",0.883,0.117,"LOW"
68,"2","Other/Unknown","T0","2",0.883,0.117,"LOW"
69,"2","Other/Unknown","T0","2",0.8822,0.1178,"LOW"
70,"2","Other/Unknown","T0","2",0.8823,0.1177,"LOW"
71,"2","Other/Unknown","T0","2",0.8831,0.1169,"LOW"
72,"2","Other/Unknown","T0","2",0.8835,0.1165,"LOW"
73,"2","Other/Unknown","T0","2",0.8833,0.1167,"LOW"
74,"2","Other/Unknown","T0","2",0.8847,0.1153,"LOW"
75,"2","Other/Unknown","T0","2",0.8849,0.1151,"LOW"
76,"2","Other/Unknown","T0","2",0.8855,0.1145,"LOW"
77,"2","Other/Unknown","T0","2",0.8831,0.1169,"LOW"
78,"2","Other/Unknown","T0","2",0.8837,0.1163,"LOW"
79,"2","Other/Unknown","T0","2",0.8835,0.1165,"LOW"
80,"2","Other/Unknown","T0","2",0.8831,0.1169,"LOW"
81,"2","Other/Unknown","T0","2",0.8859,0.1141,"LOW"
82,"2","Other/Unknown","T0","2",0.8862,0.1138,"LOW"
83,"2","Other/Unknown","T0","2",0.8874,0.1126,"LOW"
84,"2","Other/Unknown","T0","2",0.8877,0.1123,"LOW"
85,"2","Other/Unknown","T0","2",0.8875,0.1125,"LOW"
86,"2","Other/Unknown","T0","2",0.8862,0.1138,"LOW"
87,"2","Other/Unknown","T0","2",0.8888,0.1112,"LOW"
88,"2","Other/Unknown","T0","2",0.8896,0.1104,"LOW"
89,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
90,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
91,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
92,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
93,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
94,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
95,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
96,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
97,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
98,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
99,"2","Other/Unknown","T0","2",0.8905,0.1095,"LOW"
0,"1","N0","Other/Unknown","2",0.8568,0.1432,"LOW"
1,"1","N0","Other/Unknown","2",0.8575,0.1425,"LOW"
2,"1","N0","Other/Unknown","2",0.8591,0.1409,"LOW"
3,"1","N0","Other/Unknown","2",0.8502,0.1498,"LOW"
4,"1","N0","Other/Unknown","2",0.8568,0.1432,"LOW"
5,"1","N0","Other/Unknown","2",0.8599,0.1401,"LOW"
6,"1","N0","Other/Unknown","2",0.8616,0.1384,"LOW"
7,"1","N0","Other/Unknown","2",0.8602,0.1398,"LOW"
8,"1","N0","Other/Unknown","2",0.8596,0.1404,"LOW"
9,"1","N0","Other/Unknown","2",0.8604,0.1396,"LOW"
10,"1","N0","Other/Unknown","2",0.8643,0.1357,"LOW"
11,"1","N0","Other/Unknown","2",0.8667,0.1333,"LOW"
12,"1","N0","Other/Unknown","2",0.8701,0.1299,"LOW"
13,"1","N0","Other/Unknown","2",0.8712,0.1288,"LOW"
14,"1","N0","Other/Unknown","2",0.8732,0.1268,"LOW"
15,"1","N0","Other/Unknown","2",0.8747,0.1253,"LOW"
16,"1","N0","Other/Unknown","2",0.8774,0.1226,"LOW"
17,"1","N0","Other/Unknown","2",0.8794,0.1206,"LOW"
18,"1","N0","Other/Unknown","2",0.8807,0.1193,"LOW"
19,"1","N0","Other/Unknown","2",0.8839,0.1161,"LOW"
20,"1","N0","Other/Unknown","2",0.8817,0.1183,"LOW"
21,"1","N0","Other/Unknown","2",0.8809,0.1191,"LOW"
22,"1","N0","Other/Unknown","2",0.8815,0.1185,"LOW"
23,"1","N0","Other/Unknown","2",0.8812,0.1188,"LOW"
24,"1","N0","Other/Unknown","2",0.8836,0.1164,"LOW"
25,"1","N0","Other/Unknown","2",0.8839,0.1161,"LOW"
26,"1","N0","Other/Unknown","2",0.8851,0.1149,"LOW"
27,"1","N0","Other/Unknown","2",0.8851,0.1149,"LOW"
28,"1","N0","Other/Unknown","2",0.8843,0.1157,"LOW"
29,"1","N0","Other/Unknown","2",0.8829,0.1171,"LOW"
30,"1","N0","Other/Unknown","2",0.881,0.119,"LOW"
31,"1","N0","Other/Unknown","2",0.8822,0.1178,"LOW"
32,"1","N0","Other/Unknown","2",0.8824,0.1176,"LOW"
33,"1","N0","Other/Unknown","2",0.8819,0.1181,"LOW"
34,"1","N0","Other/Unknown","2",0.8815,0.1185,"LOW"
35,"1","N0","Other/Unknown","2",0.8771,0.1229,"LOW"
36,"1","N0","Other/Unknown","2",0.8773,0.1227,"LOW"
37,"1","N0","Other/Unknown","2",0.8755,0.1245,"LOW"
38,"1","N0","Other/Unknown","2",0.8793,0.1207,"LOW"
39,"1","N0","Other/Unknown","2",0.8834,0.1166,"LOW"
40,"1","N0","Other/Unknown","2",0.8865,0.1135,"LOW"
41,"1","N0","Other/Unknown","2",0.8869,0.1131,"LOW"
42,"1","N0","Other/Unknown","2",0.8861,0.1139,"LOW"
43,"1","N0","Other/Unknown","2",0.889,0.111,"LOW"
44,"1","N0","Other/Unknown","2",0.8899,0.1101,"LOW"
45,"1","N0","Other/Unknown","2",0.8888,0.1112,"LOW"
46,"1","N0","Other/Unknown","2",0.8894,0.1106,"LOW"
47,"1","N0","Other/Unknown","2",0.8903,0.1097,"LOW"
48,"1","N0","Other/Unknown","2",0.8913,0.1087,"LOW"
49,"1","N0","Other/Unknown","2",0.8944,0.1056,"LOW"
50,"1","N0","Other/Unknown","2",0.8973,0.1027,"LOW"
51,"1","N0","Other/Unknown","2",0.8977,0.1023,"LOW"
52,"1","N0","Other/Unknown","2",0.8995,0.1005,"LOW"
53,"1","N0","Other/Unknown","2",0.9003,0.0997,"LOW"
54,"1","N0","Other/Unknown","2",0.9001,0.0999,"LOW"
55,"1","N0","Other/Unknown","2",0.9002,0.0998,"LOW"
56,"1","N0","Other/Unknown","2",0.9007,0.0993,"LOW"
57,"1","N0","Other/Unknown","2",0.9022,0.0978,"LOW"
58,"1","N0","Other/Unknown","2",0.903,0.097,"LOW"
59,"1","N0","Other/Unknown","2",0.9035,0.0965,"LOW"
60,"1","N0","Other/Unknown","2",0.9039,0.0961,"LOW"
61,"1","N0","Other/Unknown","2",0.9045,0.0955,"LOW"
62,"1","N0","Other/Unknown","2",0.9049,0.0951,"LOW"
63,"1","N0","Other/Unknown","2",0.9052,0.0948,"LOW"
64,"1","N0","Other/Unknown","2",0.9051,0.0949,"LOW"
65,"1","N0","Other/Unknown","2",0.9068,0.0932,"LOW"
66,"1","N0","Other/Unknown","2",0.9067,0.0933,"LOW"
67,"1","N0","Other/Unknown","2",0.9067,0.0933,"LOW"
68,"1","N0","Other/Unknown","2",0.9052,0.0948,"LOW"
69,"1","N0","Other/Unknown","2",0.9041,0.0959,"LOW"
70,"1","N0","Other/Unknown","2",0.903,0.097,"LOW"
71,"1","N0","Other/Unknown","2",0.9018,0.0982,"LOW"
72,"1","N0","Other/Unknown","2",0.902,0.098,"LOW"
73,"1","N0","Other/Unknown","2",0.9023,0.0977,"LOW"
74,"1","N0","Other/Unknown","2",0.9023,0.0977,"LOW"
75,"1","N0","Other/Unknown","2",0.902,0.098,"LOW"
76,"1","N0","Other/Unknown","2",0.9018,0.0982,"LOW"
77,"1","N0","Other/Unknown","2",0.9019,0.0981,"LOW"
78,"1","N0","Other/Unknown","2",0.8999,0.1001,"LOW"
79,"1","N0","Other/Unknown","2",0.8983,0.1017,"LOW"
80,"1","N0","Other/Unknown","2",0.8971,0.1029,"LOW"
81,"1","N0","Other/Unknown","2",0.8965,0.1035,"LOW"
82,"1","N0","Other/Unknown","2",0.8949,0.1051,"LOW"
83,"1","N0","Other/Unknown","2",0.8948,0.1052,"LOW"
84,"1","N0","Other/Unknown","2",0.8934,0.1066,"LOW"
85,"1","N0","Other/Unknown","2",0.8899,0.1101,"LOW"
86,"1","N0","Other/Unknown","2",0.8915,0.1085,"LOW"
87,"1","N0","Other/Unknown","2",0.8923,0.1077,"LOW"
88,"1","N0","Other/Unknown","2",0.8929,0.1071,"LOW"
89,"1","N0","Other/Unknown","2",0.8932,0.1068,"LOW"
90,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
91,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
92,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
93,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
94,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
95,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
96,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
97,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
98,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
99,"1","N0","Other/Unknown","2",0.8917,0.1083,"LOW"
0,"2","N0","Other/Unknown","2",0.8784,0.1216,"LOW"
1,"2","N0","Other/Unknown","2",0.8777,0.1223,"LOW"
2,"2","N0","Other/Unknown","2",0.8796,0.1204,"LOW"
3,"2","N0","Other/Unknown","2",0.8781,0.1219,"LOW"
4,"2","N0","Other/Unknown","2",0.8864,0.1136,"LOW"
5,"2","N0","Other/Unknown","2",0.8855,0.1145,"LOW"
6,"2","N0","Other/Unknown","2",0.888,0.112,"LOW"
7,"2","N0","Other/Unknown","2",0.8874,0.1126,"LOW"
8,"2","N0","Other/Unknown","2",0.8872,0.1128,"LOW"
9,"2","N0","Other/Unknown","2",0.8871,0.1129,"LOW"
10,"2","N0","Other/Unknown","2",0.8909,0.1091,"LOW"
11,"2","N0","Other/Unknown","2",0.8916,0.1084,"LOW"
12,"2","N0","Other/Unknown","2",0.8945,0.1055,"LOW"
13,"2","N0","Other/Unknown","2",0.8947,0.1053,"LOW"
14,"2","N0","Other/Unknown","2",0.8953,0.1047,"LOW"
15,"2","N0","Other/Unknown","2",0.897,0.103,"LOW"
16,"2","N0","Other/Unknown","2",0.8984,0.1016,"LOW"
17,"2","N0","Other/Unknown","2",0.9012,0.0988,"LOW"
18,"2","N0","Other/Unknown","2",0.9021,0.0979,"LOW"
19,"2","N0","Other/Unknown","2",0.9036,0.0964,"LOW"
20,"2","N0","Other/Unknown","2",0.9036,0.0964,"LOW"
21,"2","N0","Other/Unknown","2",0.9047,0.0953,"LOW"
22,"2","N0","Other/Unknown","2",0.9053,0.0947,"LOW"
23,"2","N0","Other/Unknown","2",0.9048,0.0952,"LOW"
24,"2","N0","Other/Unknown","2",0.9056,0.0944,"LOW"
25,"2","N0","Other/Unknown","2",0.9049,0.0951,"LOW"
26,"2","N0","Other/Unknown","2",0.9062,0.0938,"LOW"
27,"2","N0","Other/Unknown","2",0.906,0.094,"LOW"
28,"2","N0","Other/Unknown","2",0.9053,0.0947,"LOW"
29,"2","N0","Other/Unknown","2",0.905,0.095,"LOW"
30,"2","N0","Other/Unknown","2",0.9051,0.0949,"LOW"
31,"2","N0","Other/Unknown","2",0.9046,0.0954,"LOW"
32,"2","N0","Other/Unknown","2",0.9041,0.0959,"LOW"
33,"2","N0","Other/Unknown","2",0.9039,0.0961,"LOW"
34,"2","N0","Other/Unknown","2",0.9032,0.0968,"LOW"
35,"2","N0","Other/Unknown","2",0.9012,0.0988,"LOW"
36,"2","N0","Other/Unknown","2",0.9012,0.0988,"LOW"
37,"2","N0","Other/Unknown","2",0.9025,0.0975,"LOW"
38,"2","N0","Other/Unknown","2",0.9043,0.0957,"LOW"
39,"2","N0","Other/Unknown","2",0.9049,0.0951,"LOW"
40,"2","N0","Other/Unknown","2",0.9051,0.0949,"LOW"
41,"2","N0","Other/Unknown","2",0.9048,0.0952,"LOW"
42,"2","N0","Other/Unknown","2",0.9052,0.0948,"LOW"
43,"2","N0","Other/Unknown","2",0.9066,0.0934,"LOW"
44,"2","N0","Other/Unknown","2",0.9046,0.0954,"LOW"
45,"2","N0","Other/Unknown","2",0.9016,0.0984,"LOW"
46,"2","N0","Other/Unknown","2",0.9021,0.0979,"LOW"
47,"2","N0","Other/Unknown","2",0.9053,0.0947,"LOW"
48,"2","N0","Other/Unknown","2",0.9059,0.0941,"LOW"
49,"2","N0","Other/Unknown","2",0.9087,0.0913,"LOW"
50,"2","N0","Other/Unknown","2",0.909,0.091,"LOW"
51,"2","N0","Other/Unknown","2",0.9092,0.0908,"LOW"
52,"2","N0","Other/Unknown","2",0.911,0.089,"LOW"
53,"2","N0","Other/Unknown","2",0.9115,0.0885,"LOW"
54,"2","N0","Other/Unknown","2",0.9114,0.0886,"LOW"
55,"2","N0","Other/Unknown","2",0.9114,0.0886,"LOW"
56,"2","N0","Other/Unknown","2",0.9121,0.0879,"LOW"
57,"2","N0","Other/Unknown","2",0.9133,0.0867,"LOW"
58,"2","N0","Other/Unknown","2",0.9137,0.0863,"LOW"
59,"2","N0","Other/Unknown","2",0.9142,0.0858,"LOW"
60,"2","N0","Other/Unknown","2",0.9141,0.0859,"LOW"
61,"2","N0","Other/Unknown","2",0.9145,0.0855,"LOW"
62,"2","N0","Other/Unknown","2",0.9145,0.0855,"LOW"
63,"2","N0","Other/Unknown","2",0.9149,0.0851,"LOW"
64,"2","N0","Other/Unknown","2",0.9148,0.0852,"LOW"
65,"2","N0","Other/Unknown","2",0.9145,0.0855,"LOW"
66,"2","N0","Other/Unknown","2",0.9144,0.0856,"LOW"
67,"2","N0","Other/Unknown","2",0.9145,0.0855,"LOW"
68,"2","N0","Other/Unknown","2",0.9137,0.0863,"LOW"
69,"2","N0","Other/Unknown","2",0.9134,0.0866,"LOW"
70,"2","N0","Other/Unknown","2",0.9128,0.0872,"LOW"
71,"2","N0","Other/Unknown","2",0.9118,0.0882,"LOW"
72,"2","N0","Other/Unknown","2",0.9113,0.0887,"LOW"
73,"2","N0","Other/Unknown","2",0.9115,0.0885,"LOW"
74,"2","N0","Other/Unknown","2",0.9115,0.0885,"LOW"
75,"2","N0","Other/Unknown","2",0.9119,0.0881,"LOW"
76,"2","N0","Other/Unknown","2",0.9122,0.0878,"LOW"
77,"2","N0","Other/Unknown","2",0.9124,0.0876,"LOW"
78,"2","N0","Other/Unknown","2",0.9099,0.0901,"LOW"
79,"2","N0","Other/Unknown","2",0.9071,0.0929,"LOW"
80,"2","N0","Other/Unknown","2",0.9082,0.0918,"LOW"
81,"2","N0","Other/Unknown","2",0.9078,0.0922,"LOW"
82,"2","N0","Other/Unknown","2",0.908,0.092,"LOW"
83,"2","N0","Other/Unknown","2",0.9083,0.0917,"LOW"
84,"2","N0","Other/Unknown","2",0.9067,0.0933,"LOW"
85,"2","N0","Other/Unknown","2",0.9056,0.0944,"LOW"
86,"2","N0","Other/Unknown","2",0.9071,0.0929,"LOW"
87,"2","N0","Other/Unknown","2",0.9088,0.0912,"LOW"
88,"2","N0","Other/Unknown","2",0.9102,0.0898,"LOW"
89,"2","N0","Other/Unknown","2",0.9102,0.0898,"LOW"
90,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
91,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
92,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
93,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
94,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
95,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
96,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
97,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
98,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
99,"2","N0","Other/Unknown","2",0.9084,0.0916,"LOW"
0,"1","N1","Other/Unknown","2",0.6841,0.3159,"LOW"
1,"1","N1","Other/Unknown","2",0.6822,0.3178,"LOW"
2,"1","N1","Other/Unknown","2",0.6835,0.3165,"LOW"
3,"1","N1","Other/Unknown","2",0.6837,0.3163,"LOW"
4,"1","N1","Other/Unknown","2",0.6892,0.3108,"LOW"
5,"1","N1","Other/Unknown","2",0.6912,0.3088,"LOW"
6,"1","N1","Other/Unknown","2",0.6942,0.3058,"LOW"
7,"1","N1","Other/Unknown","2",0.6909,0.3091,"LOW"
8,"1","N1","Other/Unknown","2",0.6898,0.3102,"LOW"
9,"1","N1","Other/Unknown","2",0.6906,0.3094,"LOW"
10,"1","N1","Other/Unknown","2",0.6943,0.3057,"LOW"
11,"1","N1","Other/Unknown","2",0.6932,0.3068,"LOW"
12,"1","N1","Other/Unknown","2",0.6961,0.3039,"LOW"
13,"1","N1","Other/Unknown","2",0.6956,0.3044,"LOW"
14,"1","N1","Other/Unknown","2",0.6981,0.3019,"LOW"
15,"1","N1","Other/Unknown","2",0.6981,0.3019,"LOW"
16,"1","N1","Other/Unknown","2",0.7024,0.2976,"LOW"
17,"1","N1","Other/Unknown","2",0.7033,0.2967,"LOW"
18,"1","N1","Other/Unknown","2",0.7072,0.2928,"LOW"
19,"1","N1","Other/Unknown","2",0.7085,0.2915,"LOW"
20,"1","N1","Other/Unknown","2",0.7093,0.2907,"LOW"
21,"1","N1","Other/Unknown","2",0.71,0.29,"LOW"
22,"1","N1","Other/Unknown","2",0.7094,0.2906,"LOW"
23,"1","N1","Other/Unknown","2",0.712,0.288,"LOW"
24,"1","N1","Other/Unknown","2",0.7093,0.2907,"LOW"
25,"1","N1","Other/Unknown","2",0.7118,0.2882,"LOW"
26,"1","N1","Other/Unknown","2",0.7139,0.2861,"LOW"
27,"1","N1","Other/Unknown","2",0.7117,0.2883,"LOW"
28,"1","N1","Other/Unknown","2",0.7122,0.2878,"LOW"
29,"1","N1","Other/Unknown","2",0.7116,0.2884,"LOW"
30,"1","N1","Other/Unknown","2",0.7113,0.2887,"LOW"
31,"1","N1","Other/Unknown","2",0.7089,0.2911,"LOW"
32,"1","N1","Other/Unknown","2",0.7087,0.2913,"LOW"
33,"1","N1","Other/Unknown","2",0.7102,0.2898,"LOW"
34,"1","N1","Other/Unknown","2",0.7096,0.2904,"LOW"
35,"1","N1","Other/Unknown","2",0.7102,0.2898,"LOW"
36,"1","N1","Other/Unknown","2",0.7107,0.2893,"LOW"
37,"1","N1","Other/Unknown","2",0.7089,0.2911,"LOW"
38,"1","N1","Other/Unknown","2",0.7096,0.2904,"LOW"
39,"1","N1","Other/Unknown","2",0.7066,0.2934,"LOW"
40,"1","N1","Other/Unknown","2",0.7082,0.2918,"LOW"
41,"1","N1","Other/Unknown","2",0.7098,0.2902,"LOW"
42,"1","N1","Other/Unknown","2",0.7099,0.2901,"LOW"
43,"1","N1","Other/Unknown","2",0.7088,0.2912,"LOW"
44,"1","N1","Other/Unknown","2",0.7074,0.2926,"LOW"
45,"1","N1","Other/Unknown","2",0.7083,0.2917,"LOW"
46,"1","N1","Other/Unknown","2",0.7084,0.2916,"LOW"
47,"1","N1","Other/Unknown","2",0.7087,0.2913,"LOW"
48,"1","N1","Other/Unknown","2",0.7082,0.2918,"LOW"
49,"1","N1","Other/Unknown","2",0.7077,0.2923,"LOW"
50,"1","N1","Other/Unknown","2",0.7059,0.2941,"LOW"
51,"1","N1","Other/Unknown","2",0.7075,0.2925,"LOW"
52,"1","N1","Other/Unknown","2",0.71,0.29,"LOW"
53,"1","N1","Other/Unknown","2",0.7102,0.2898,"LOW"
54,"1","N1","Other/Unknown","2",0.7128,0.2872,"LOW"
55,"1","N1","Other/Unknown","2",0.7116,0.2884,"LOW"
56,"1","N1","Other/Unknown","2",0.7122,0.2878,"LOW"
57,"1","N1","Other/Unknown","2",0.7123,0.2877,"LOW"
58,"1","N1","Other/Unknown","2",0.7126,0.2874,"LOW"
59,"1","N1","Other/Unknown","2",0.7154,0.2846,"LOW"
60,"1","N1","Other/Unknown","2",0.7193,0.2807,"LOW"
61,"1","N1","Other/Unknown","2",0.7202,0.2798,"LOW"
62,"1","N1","Other/Unknown","2",0.7154,0.2846,"LOW"
63,"1","N1","Other/Unknown","2",0.7071,0.2929,"LOW"
64,"1","N1","Other/Unknown","2",0.7072,0.2928,"LOW"
65,"1","N1","Other/Unknown","2",0.707,0.293,"LOW"
66,"1","N1","Other/Unknown","2",0.7067,0.2933,"LOW"
67,"1","N1","Other/Unknown","2",0.705,0.295,"LOW"
68,"1","N1","Other/Unknown","2",0.7025,0.2975,"LOW"
69,"1","N1","Other/Unknown","2",0.7019,0.2981,"LOW"
70,"1","N1","Other/Unknown","2",0.7035,0.2965,"LOW"
71,"1","N1","Other/Unknown","2",0.7009,0.2991,"LOW"
72,"1","N1","Other/Unknown","2",0.7014,0.2986,"LOW"
73,"1","N1","Other/Unknown","2",0.7034,0.2966,"LOW"
74,"1","N1","Other/Unknown","2",0.7036,0.2964,"LOW"
75,"1","N1","Other/Unknown","2",0.7024,0.2976,"LOW"
76,"1","N1","Other/Unknown","2",0.7028,0.2972,"LOW"
77,"1","N1","Other/Unknown","2",0.7011,0.2989,"LOW"
78,"1","N1","Other/Unknown","2",0.7006,0.2994,"LOW"
79,"1","N1","Other/Unknown","2",0.7,0.3,"LOW"
80,"1","N1","Other/Unknown","2",0.7,0.3,"LOW"
81,"1","N1","Other/Unknown","2",0.7007,0.2993,"LOW"
82,"1","N1","Other/Unknown","2",0.6996,0.3004,"LOW"
83,"1","N1","Other/Unknown","2",0.6991,0.3009,"LOW"
84,"1","N1","Other/Unknown","2",0.6977,0.3023,"LOW"
85,"1","N1","Other/Unknown","2",0.6922,0.3078,"LOW"
86,"1","N1","Other/Unknown","2",0.6942,0.3058,"LOW"
87,"1","N1","Other/Unknown","2",0.6952,0.3048,"LOW"
88,"1","N1","Other/Unknown","2",0.6952,0.3048,"LOW"
89,"1","N1","Other/Unknown","2",0.6964,0.3036,"LOW"
90,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
91,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
92,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
93,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
94,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
95,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
96,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
97,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
98,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
99,"1","N1","Other/Unknown","2",0.6944,0.3056,"LOW"
0,"2","N1","Other/Unknown","2",0.6411,0.3589,"LOW"
1,"2","N1","Other/Unknown","2",0.641,0.359,"LOW"
2,"2","N1","Other/Unknown","2",0.6457,0.3543,"LOW"
3,"2","N1","Other/Unknown","2",0.6436,0.3564,"LOW"
4,"2","N1","Other/Unknown","2",0.6527,0.3473,"LOW"
5,"2","N1","Other/Unknown","2",0.6546,0.3454,"LOW"
6,"2","N1","Other/Unknown","2",0.6564,0.3436,"LOW"
7,"2","N1","Other/Unknown","2",0.657,0.343,"LOW"
8,"2","N1","Other/Unknown","2",0.6538,0.3462,"LOW"
9,"2","N1","Other/Unknown","2",0.6508,0.3492,"LOW"
10,"2","N1","Other/Unknown","2",0.6565,0.3435,"LOW"
11,"2","N1","Other/Unknown","2",0.6562,0.3438,"LOW"
12,"2","N1","Other/Unknown","2",0.6588,0.3412,"LOW"
13,"2","N1","Other/Unknown","2",0.6588,0.3412,"LOW"
14,"2","N1","Other/Unknown","2",0.6608,0.3392,"LOW"
15,"2","N1","Other/Unknown","2",0.6619,0.3381,"LOW"
16,"2","N1","Other/Unknown","2",0.6657,0.3343,"LOW"
17,"2","N1","Other/Unknown","2",0.6661,0.3339,"LOW"
18,"2","N1","Other/Unknown","2",0.6686,0.3314,"LOW"
19,"2","N1","Other/Unknown","2",0.6718,0.3282,"LOW"
20,"2","N1","Other/Unknown","2",0.6728,0.3272,"LOW"
21,"2","N1","Other/Unknown","2",0.6717,0.3283,"LOW"
22,"2","N1","Other/Unknown","2",0.6718,0.3282,"LOW"
23,"2","N1","Other/Unknown","2",0.6744,0.3256,"LOW"
24,"2","N1","Other/Unknown","2",0.6721,0.3279,"LOW"
25,"2","N1","Other/Unknown","2",0.674,0.326,"LOW"
26,"2","N1","Other/Unknown","2",0.6787,0.3213,"LOW"
27,"2","N1","Other/Unknown","2",0.6791,0.3209,"LOW"
28,"2","N1","Other/Unknown","2",0.6795,0.3205,"LOW"
29,"2","N1","Other/Unknown","2",0.6813,0.3187,"LOW"
30,"2","N1","Other/Unknown","2",0.6767,0.3233,"LOW"
31,"2","N1","Other/Unknown","2",0.6756,0.3244,"LOW"
32,"2","N1","Other/Unknown","2",0.6736,0.3264,"LOW"
33,"2","N1","Other/Unknown","2",0.6754,0.3246,"LOW"
34,"2","N1","Other/Unknown","2",0.675,0.325,"LOW"
35,"2","N1","Other/Unknown","2",0.6761,0.3239,"LOW"
36,"2","N1","Other/Unknown","2",0.6764,0.3236,"LOW"
37,"2","N1","Other/Unknown","2",0.6765,0.3235,"LOW"
38,"2","N1","Other/Unknown","2",0.6754,0.3246,"LOW"
39,"2","N1","Other/Unknown","2",0.6706,0.3294,"LOW"
40,"2","N1","Other/Unknown","2",0.6716,0.3284,"LOW"
41,"2","N1","Other/Unknown","2",0.6728,0.3272,"LOW"
42,"2","N1","Other/Unknown","2",0.6707,0.3293,"LOW"
43,"2","N1","Other/Unknown","2",0.6656,0.3344,"LOW"
44,"2","N1","Other/Unknown","2",0.6604,0.3396,"LOW"
