"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
95,"1","N0","T0","1",0.922,0.078,"LOW"
96,"1","N0","T0","1",0.922,0.078,"LOW"
97,"1","N0","T0","1",0.922,0.078,"LOW"
98,"1","N0","T0","1",0.922,0.078,"LOW"
99,"1","N0","T0","1",0.922,0.078,"LOW"
0,"2","N0","T0","1",0.8763,0.1237,"LOW"
1,"2","N0","T0","1",0.8755,0.1245,"LOW"
2,"2","N0","T0","1",0.871,0.129,"LOW"
3,"2","N0","T0","1",0.8624,0.1376,"LOW"
4,"2","N0","T0","1",0.8666,0.1334,"LOW"
5,"2","N0","T0","1",0.8674,0.1326,"LOW"
6,"2","N0","T0","1",0.8715,0.1285,"LOW"
7,"2","N0","T0","1",0.8768,0.1232,"LOW"
8,"2","N0","T0","1",0.8771,0.1229,"LOW"
9,"2","N0","T0","1",0.8771,0.1229,"LOW"
10,"2","N0","T0","1",0.8845,0.1155,"LOW"
11,"2","N0","T0","1",0.8884,0.1116,"LOW"
12,"2","N0","T0","1",0.8936,0.1064,"LOW"
13,"2","N0","T0","1",0.895,0.105,"LOW"
14,"2","N0","T0","1",0.8963,0.1037,"LOW"
15,"2","N0","T0","1",0.8984,0.1016,"LOW"
16,"2","N0","T0","1",0.9023,0.0977,"LOW"
17,"2","N0","T0","1",0.905,0.095,"LOW"
18,"2","N0","T0","1",0.9056,0.0944,"LOW"
19,"2","N0","T0","1",0.9066,0.0934,"LOW"
20,"2","N0","T0","1",0.9078,0.0922,"LOW"
21,"2","N0","T0","1",0.9081,0.0919,"LOW"
22,"2","N0","T0","1",0.9086,0.0914,"LOW"
23,"2","N0","T0","1",0.907,0.093,"LOW"
24,"2","N0","T0","1",0.9088,0.0912,"LOW"
25,"2","N0","T0","1",0.9092,0.0908,"LOW"
26,"2","N0","T0","1",0.9124,0.0876,"LOW"
27,"2","N0","T0","1",0.9128,0.0872,"LOW"
28,"2","N0","T0","1",0.9129,0.0871,"LOW"
29,"2","N0","T0","1",0.9139,0.0861,"LOW"
30,"2","N0","T0","1",0.9149,0.0851,"LOW"
31,"2","N0","T0","1",0.9144,0.0856,"LOW"
32,"2","N0","T0","1",0.9163,0.0837,"LOW"
33,"2","N0","T0","1",0.917,0.083,"LOW"
34,"2","N0","T0","1",0.9193,0.0807,"LOW"
35,"2","N0","T0","1",0.9223,0.0777,"LOW"
36,"2","N0","T0","1",0.9229,0.0771,"LOW"
37,"2","N0","T0","1",0.9236,0.0764,"LOW"
38,"2","N0","T0","1",0.9258,0.0742,"LOW"
39,"2","N0","T0","1",0.9248,0.0752,"LOW"
40,"2","N0","T0","1",0.9263,0.0737,"LOW"
41,"2","N0","T0","1",0.9275,0.0725,"LOW"
42,"2","N0","T0","1",0.9286,0.0714,"LOW"
43,"2","N0","T0","1",0.9281,0.0719,"LOW"
44,"2","N0","T0","1",0.9289,0.0711,"LOW"
45,"2","N0","T0","1",0.9288,0.0712,"LOW"
46,"2","N0","T0","1",0.9296,0.0704,"LOW"
47,"2","N0","T0","1",0.9317,0.0683,"LOW"
48,"2","N0","T0","1",0.9316,0.0684,"LOW"
49,"2","N0","T0","1",0.9303,0.0697,"LOW"
50,"2","N0","T0","1",0.9304,0.0696,"LOW"
51,"2","N0","T0","1",0.9296,0.0704,"LOW"
52,"2","N0","T0","1",0.9289,0.0711,"LOW"
53,"2","N0","T0","1",0.9301,0.0699,"LOW"
54,"2","N0","T0","1",0.9295,0.0705,"LOW"
55,"2","N0","T0","1",0.9297,0.0703,"LOW"
56,"2","N0","T0","1",0.9299,0.0701,"LOW"
57,"2","N0","T0","1",0.9283,0.0717,"LOW"
58,"2","N0","T0","1",0.9303,0.0697,"LOW"
59,"2","N0","T0","1",0.9301,0.0699,"LOW"
60,"2","N0","T0","1",0.9296,0.0704,"LOW"
61,"2","N0","T0","1",0.9301,0.0699,"LOW"
62,"2","N0","T0","1",0.9298,0.0702,"LOW"
63,"2","N0","T0","1",0.9317,0.0683,"LOW"
64,"2","N0","T0","1",0.9323,0.0677,"LOW"
65,"2","N0","T0","1",0.9322,0.0678,"LOW"
66,"2","N0","T0","1",0.932,0.068,"LOW"
67,"2","N0","T0","1",0.9325,0.0675,"LOW"
68,"2","N0","T0","1",0.9323,0.0677,"LOW"
69,"2","N0","T0","1",0.9316,0.0684,"LOW"
70,"2","N0","T0","1",0.9306,0.0694,"LOW"
71,"2","N0","T0","1",0.931,0.069,"LOW"
72,"2","N0","T0","1",0.9309,0.0691,"LOW"
73,"2","N0","T0","1",0.9306,0.0694,"LOW"
74,"2","N0","T0","1",0.9299,0.0701,"LOW"
75,"2","N0","T0","1",0.9302,0.0698,"LOW"
76,"2","N0","T0","1",0.93,0.07,"LOW"
77,"2","N0","T0","1",0.9301,0.0699,"LOW"
78,"2","N0","T0","1",0.9291,0.0709,"LOW"
79,"2","N0","T0","1",0.9291,0.0709,"LOW"
80,"2","N0","T0","1",0.9286,0.0714,"LOW"
81,"2","N0","T0","1",0.9276,0.0724,"LOW"
82,"2","N0","T0","1",0.927,0.073,"LOW"
83,"2","N0","T0","1",0.9281,0.0719,"LOW"
84,"2","N0","T0","1",0.9281,0.0719,"LOW"
85,"2","N0","T0","1",0.9277,0.0723,"LOW"
86,"2","N0","T0","1",0.9248,0.0752,"LOW"
87,"2","N0","T0","1",0.9264,0.0736,"LOW"
88,"2","N0","T0","1",0.9265,0.0735,"LOW"
89,"2","N0","T0","1",0.9272,0.0728,"LOW"
90,"2","N0","T0","1",0.9261,0.0739,"LOW"
91,"2","N0","T0","1",0.9261,0.0739,"LOW"
92,"2","N0","T0","1",0.9261,0.0739,"LOW"
93,"2","N0","T0","1",0.9261,0.0739,"LOW"
94,"2","N0","T0","1",0.9261,0.0739,"LOW"
95,"2","N0","T0","1",0.9261,0.0739,"LOW"
96,"2","N0","T0","1",0.9261,0.0739,"LOW"
97,"2","N0","T0","1",0.9261,0.0739,"LOW"
98,"2","N0","T0","1",0.9261,0.0739,"LOW"
99,"2","N0","T0","1",0.9261,0.0739,"LOW"
0,"1","N1","T0","1",0.6112,0.3888,"LOW"
1,"1","N1","T0","1",0.6109,0.3891,"LOW"
2,"1","N1","T0","1",0.6071,0.3929,"LOW"
3,"1","N1","T0","1",0.6055,0.3945,"LOW"
4,"1","N1","T0","1",0.6075,0.3925,"LOW"
5,"1","N1","T0","1",0.6087,0.3913,"LOW"
6,"1","N1","T0","1",0.611,0.389,"LOW"
7,"1","N1","T0","1",0.6109,0.3891,"LOW"
8,"1","N1","T0","1",0.6127,0.3873,"LOW"
9,"1","N1","T0","1",0.6104,0.3896,"LOW"
